N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
217536749,28,1,60,FOUND,15649,13901,102,0,13914762457741562870,145785160,53782718,52200,52.2,0.0522,5.22e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
217536749,28,2,60,FOUND,15649,13901,60,0,17354866729577038840,64030473,52785304,30100,30.1,0.0301,3.01e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
217536749,28,3,60,FOUND,13901,15649,82,0,15812795250114768732,91879009,143157914,40000,40.0,0.04,4e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
149953273,28,1,60,FOUND,9181,16333,132,0,4590704946146331084,135118584,34417851,63700,63.7,0.0637,6.37e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
149953273,28,2,60,FOUND,9181,16333,88,0,224563662765536275,128516208,80254198,43700,43.7,0.0437,4.37e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
149953273,28,3,60,FOUND,9181,16333,88,0,12729478551547151010,29244362,19414224,43400,43.4,0.0434,4.34e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
192455149,28,1,60,FOUND,15823,12163,106,0,1998039953399320614,157599216,13337699,61200,61.2,0.0612,6.12e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
192455149,28,2,60,FOUND,12163,15823,72,0,1362373619496738919,172975595,141577690,35400,35.4,0.0354,3.54e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
192455149,28,3,60,FOUND,15823,12163,81,0,11145915029938091860,44299248,57660661,39500,39.5,0.0395,3.95e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
168497531,28,1,60,FOUND,11273,14947,57,0,17365806530848843755,78148631,74919435,28200,28.2,0.0282,2.82e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
168497531,28,2,60,FOUND,11273,14947,80,0,16466775378246601247,47819819,93393404,38200,38.2,0.0382,3.82e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
168497531,28,3,60,FOUND,11273,14947,98,0,16055245464313057993,139221869,167824062,60400,60.4,0.0604,6.04e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
214598473,28,1,60,FOUND,15679,13687,73,0,16352570757506631938,10559618,70614494,35800,35.8,0.0358,3.58e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
214598473,28,2,60,FOUND,15679,13687,19,0,6822127496723869166,96413024,214328277,9700,9.7,0.0097,9.7e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
214598473,28,3,60,FOUND,15679,13687,70,0,12038876734841446279,116671591,143612211,35300,35.3,0.0353,3.53e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
214174861,28,1,60,FOUND,15607,13723,122,0,13290859095193000849,94109027,113834873,58300,58.3,0.0583,5.83e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
214174861,28,2,60,FOUND,15607,13723,66,0,17775445945861504093,202628821,124147829,32400,32.4,0.0324,3.24e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
214174861,28,3,60,FOUND,13723,15607,32,0,4448070075602235192,178635917,70009638,16600,16.6,0.0166,1.66e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
210385339,28,1,60,FOUND,15803,13313,92,0,51665753721410683,172119710,99461678,45100,45.1,0.0451,4.51e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
210385339,28,2,60,FOUND,13313,15803,65,0,10163800491488996553,4322959,22351455,32500,32.5,0.0325,3.25e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
210385339,28,3,60,FOUND,15803,13313,36,0,14356409697170954627,46357729,86494429,18300,18.3,0.0183,1.83e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
136438051,28,1,60,FOUND,10067,13553,45,0,13374185387031375678,133863634,31524681,22100,22.1,0.0221,2.21e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
136438051,28,2,60,FOUND,13553,10067,115,0,10815729564814495699,102763252,50613156,62100,62.1,0.0621,6.21e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
136438051,28,3,60,FOUND,10067,13553,80,0,5577122843589695724,109876691,15470719,39300,39.3,0.0393,3.93e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
163548379,28,1,60,FOUND,12601,12979,32,0,5648005399496459712,96056522,97442497,16100,16.1,0.0161,1.61e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
163548379,28,2,60,FOUND,12979,12601,40,0,280267004605656131,145194306,136258675,20000,20.0,0.02,2e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
163548379,28,3,60,FOUND,12601,12979,21,0,1135232432098161558,159051358,59776910,10900,10.9,0.0109,1.09e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
172934747,28,1,60,FOUND,11519,15013,189,0,9730423935626230178,78211863,43406709,92000,92.0,0.092,9.2e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
172934747,28,2,60,FOUND,11519,15013,158,0,5273225278701065253,102683399,140305958,78300,78.3,0.0783,7.83e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
172934747,28,3,60,FOUND,11519,15013,44,0,839976190147522775,161712170,61691094,22800,22.8,0.0228,2.28e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
135571627,28,1,60,FOUND,12517,10831,36,0,6741282416838809250,111626198,60878553,17900,17.9,0.0179,1.79e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
135571627,28,2,60,FOUND,12517,10831,58,0,679598795029457134,93379576,12468509,28700,28.7,0.0287,2.87e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
135571627,28,3,60,FOUND,12517,10831,26,0,12884008564636725681,253340,101495728,13800,13.8,0.0138,1.38e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
191765669,28,1,60,FOUND,14741,13009,107,0,889665966639133704,97641841,18566553,53000,53.0,0.053,5.3e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
191765669,28,2,60,FOUND,13009,14741,88,0,6991589751470075975,160323289,118234795,43700,43.7,0.0437,4.37e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
191765669,28,3,60,FOUND,13009,14741,4,0,2203194598998725572,22391914,69176245,2200,2.2,0.0022,2.2e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
195532301,28,1,60,FOUND,15473,12637,99,0,8347700542806447979,125682210,179861434,49200,49.2,0.0492,4.92e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
195532301,28,2,60,FOUND,12637,15473,72,0,5618545858361128032,140179867,152348181,35700,35.7,0.0357,3.57e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
195532301,28,3,60,FOUND,12637,15473,65,0,11992739380811705459,110131454,85242387,31800,31.8,0.0318,3.18e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
203406331,28,1,60,FOUND,12641,16091,47,0,15310846276740090940,64686405,153756083,23500,23.5,0.0235,2.35e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
203406331,28,2,60,FOUND,12641,16091,6,0,1301819652692776485,158446522,107804870,4600,4.6,0.0046,4.6e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
203406331,28,3,60,FOUND,16091,12641,137,0,6374989454296381099,45715303,173153850,96200,96.2,0.0962,9.62e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
135973349,28,1,60,FOUND,12841,10589,126,0,8807554379781597817,61143217,78001645,99800,99.8,0.0998,9.98e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
135973349,28,2,60,FOUND,10589,12841,42,0,12357020800762172311,89617926,106781581,32100,32.1,0.0321,3.21e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
135973349,28,3,60,FOUND,10589,12841,89,0,11643298822429675850,120821383,77888813,43600,43.6,0.0436,4.36e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
141717209,28,1,60,FOUND,9661,14669,52,0,10084716309821023240,121627722,5251227,26200,26.2,0.0262,2.62e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
141717209,28,2,60,FOUND,14669,9661,78,0,9941623747601371013,121710466,8504587,43500,43.5,0.0435,4.35e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
141717209,28,3,60,FOUND,9661,14669,38,0,6928007874963871558,120250954,58489252,20000,20.0,0.02,2e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
177457229,28,1,60,FOUND,11177,15877,96,0,8727693428388732474,113595585,13418659,46800,46.8,0.0468,4.68e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
177457229,28,2,60,FOUND,11177,15877,72,0,12609598090634064566,40950021,170527497,35400,35.4,0.0354,3.54e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
177457229,28,3,60,FOUND,15877,11177,80,0,1048468757554836137,53596054,45009715,38700,38.7,0.0387,3.87e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
157133083,28,1,60,FOUND,11743,13381,206,0,5511988866468062085,67415315,148058632,104800,104.8,0.1048,0.0001048,2026-02-09 23:23:50,2026-02-09 23:23:50,
157133083,28,2,60,FOUND,11743,13381,89,0,18213174099450654050,113004871,134829172,46500,46.5,0.0465,4.65e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
157133083,28,3,60,FOUND,11743,13381,96,0,13798967605668221106,75144998,80166873,46800,46.8,0.0468,4.68e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
148778429,28,1,60,FOUND,11069,13441,74,0,18123931871811808764,43243030,52687774,36900,36.9,0.0369,3.69e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
148778429,28,2,60,FOUND,13441,11069,114,0,4948008362060784176,128213093,22200993,53800,53.8,0.0538,5.38e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
148778429,28,3,60,FOUND,11069,13441,106,0,3615266992601668823,103749242,49502935,73900,73.9,0.0739,7.39e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
137552851,28,1,60,FOUND,8429,16319,103,0,7393865341044503831,89934384,128923288,60600,60.6,0.0606,6.06e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
137552851,28,2,60,FOUND,16319,8429,219,0,11078882546233079348,61900536,118224314,104000,104.0,0.104,0.000104,2026-02-09 23:23:50,2026-02-09 23:23:50,
137552851,28,3,60,FOUND,16319,8429,88,0,10290871323996200194,103655138,54400324,43200,43.2,0.0432,4.32e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
146154527,28,1,60,FOUND,9931,14717,119,0,8417497144533123432,112215722,13804440,68000,68.0,0.068,6.8e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
146154527,28,2,60,FOUND,14717,9931,176,0,4083582406021237028,3623560,54724874,83900,83.9,0.0839,8.39e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
146154527,28,3,60,FOUND,9931,14717,58,0,5857767604732783757,34735021,95426077,35300,35.3,0.0353,3.53e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
142753393,28,1,60,FOUND,9337,15289,51,0,14449296907548970701,24421294,55901932,25300,25.3,0.0253,2.53e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
142753393,28,2,60,FOUND,9337,15289,48,0,1883991715666562347,78868542,36336665,24800,24.8,0.0248,2.48e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
142753393,28,3,60,FOUND,9337,15289,65,0,12838015433864300986,98277038,22928575,31500,31.5,0.0315,3.15e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
136264787,28,1,60,FOUND,14813,9199,93,0,4319269442511616132,38565776,69242658,44800,44.8,0.0448,4.48e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
136264787,28,2,60,FOUND,14813,9199,91,0,4445270237939728615,13152619,129827614,43800,43.8,0.0438,4.38e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
136264787,28,3,60,FOUND,9199,14813,46,0,5184835221916932265,13493479,85091261,26800,26.8,0.0268,2.68e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
175018637,28,1,60,FOUND,15749,11113,132,0,6813333889352076971,149849639,75023561,63300,63.3,0.0633,6.33e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
175018637,28,2,60,FOUND,11113,15749,114,0,4812991443562181828,119783496,124971816,55800,55.8,0.0558,5.58e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
175018637,28,3,60,FOUND,15749,11113,79,0,9408890526800994180,162620235,64238725,40200,40.2,0.0402,4.02e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
160841171,28,1,60,FOUND,14411,11161,40,0,8731380098867096319,75787198,121484371,20000,20.0,0.02,2e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
160841171,28,2,60,FOUND,11161,14411,6,0,12617370813308209623,136839995,16609249,3300,3.3,0.0033,3.3e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
160841171,28,3,60,FOUND,11161,14411,14,0,11594833205788114059,103469020,131940351,7400,7.4,0.0074,7.4e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
