N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
9291229,24,1,60,FOUND,3463,2683,27,0,8542847763069456986,8199367,1593758,26800,26.8,0.0268,2.68e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
9291229,24,2,60,FOUND,2683,3463,67,0,12645070965640923052,6180377,1965120,56700,56.7,0.0567,5.67e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
9291229,24,3,60,FOUND,2683,3463,74,0,8475882542676238659,9208096,146473,63200,63.2,0.0632,6.32e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
13803431,24,1,60,FOUND,3907,3533,25,0,13958093725343721006,13079555,8566382,21300,21.3,0.0213,2.13e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
13803431,24,2,60,FOUND,3533,3907,90,0,6044397895868519091,11975791,6956715,77400,77.4,0.0774,7.74e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
13803431,24,3,60,FOUND,3533,3907,76,0,11915657279671599687,7015921,6188850,77900,77.9,0.0779,7.79e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
14837939,24,1,60,FOUND,3643,4073,19,0,286326858191931379,12734077,1690318,16500,16.5,0.0165,1.65e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
14837939,24,2,60,FOUND,3643,4073,18,0,11463372011011248842,14169985,8991460,15900,15.9,0.0159,1.59e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
14837939,24,3,60,FOUND,3643,4073,11,0,6716384763995830012,10306568,7279155,9900,9.9,0.0099,9.9e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
15374237,24,1,60,FOUND,3923,3919,56,0,10778458496028930232,1316415,4007327,47100,47.1,0.0471,4.71e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
15374237,24,2,60,FOUND,3919,3923,59,0,593857760933839888,5941256,3216114,49700,49.7,0.0497,4.97e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
15374237,24,3,60,FOUND,3919,3923,48,0,8018121169406514791,3429823,1056053,39400,39.4,0.0394,3.94e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
10538659,24,1,60,FOUND,4027,2617,34,0,7573576651975646396,1576530,10428953,28500,28.5,0.0285,2.85e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
10538659,24,2,60,FOUND,4027,2617,19,0,562566586628289992,1834041,1776564,16300,16.3,0.0163,1.63e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
10538659,24,3,60,FOUND,4027,2617,57,0,14239780507613025212,7421467,3464108,46900,46.9,0.0469,4.69e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
9232739,24,1,60,FOUND,3187,2897,14,0,7807351659349399676,1257858,7164684,12500,12.5,0.0125,1.25e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
9232739,24,2,60,FOUND,2897,3187,12,0,9735506349348179964,8345848,2197803,10500,10.5,0.0105,1.05e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
9232739,24,3,60,FOUND,2897,3187,13,0,13597510207302080613,9026446,575437,11300,11.3,0.0113,1.13e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
11755811,24,1,60,FOUND,3833,3067,36,0,12140345376849542803,4160658,7553727,30400,30.4,0.0304,3.04e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
11755811,24,2,60,FOUND,3833,3067,39,0,11624473494646151915,9305045,7914779,31300,31.3,0.0313,3.13e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
11755811,24,3,60,FOUND,3067,3833,34,0,12940628743477037832,7379667,10467634,29200,29.2,0.0292,2.92e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
12778861,24,1,60,FOUND,3617,3533,64,0,10582516497710024825,1365093,8200772,53400,53.4,0.0534,5.34e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
