N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
574339,20,1,60,FOUND,773,743,21,0,10249715607932844100,483587,227408,17000,17.0,0.017,1.7e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
574339,20,2,60,FOUND,743,773,20,0,11904516371827170922,123637,482248,17600,17.6,0.0176,1.76e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
574339,20,3,60,FOUND,743,773,20,0,1839665963539481439,109128,532449,20800,20.8,0.0208,2.08e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
525647,20,1,60,FOUND,577,911,9,0,12076191988085547084,194148,443727,6400,6.4,0.0064,6.4e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
525647,20,2,60,FOUND,911,577,25,0,18322503172038689143,457568,352094,12100,12.1,0.0121,1.21e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
525647,20,3,60,FOUND,911,577,4,0,16429536346142809208,508231,240766,2600,2.6,0.0026,2.6e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
623011,20,1,60,FOUND,757,823,15,0,13915924377357403822,25248,211346,7600,7.6,0.0076,7.6e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
623011,20,2,60,FOUND,757,823,25,0,11231763303288344990,131732,145707,12000,12.0,0.012,1.2e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
623011,20,3,60,FOUND,757,823,18,0,7886103901925886489,537616,189277,9000,9.0,0.009,9e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
971107,20,1,60,FOUND,1019,953,16,0,4226086858231305125,5827,586587,8800,8.8,0.0088,8.8e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
971107,20,2,60,FOUND,1019,953,26,0,399037392774688750,688845,904462,12800,12.8,0.0128,1.28e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
971107,20,3,60,FOUND,953,1019,36,0,8768993418663056242,758910,672548,17300,17.3,0.0173,1.73e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
574121,20,1,60,FOUND,569,1009,28,0,3637522554711866141,514127,254804,13200,13.2,0.0132,1.32e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
574121,20,2,60,FOUND,569,1009,12,0,14768213294259251532,566504,93832,6600,6.6,0.0066,6.6e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
574121,20,3,60,FOUND,1009,569,41,0,11620901598373756829,163599,476635,19600,19.6,0.0196,1.96e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
695273,20,1,60,FOUND,967,719,26,0,9931732143784664182,413878,263675,12300,12.3,0.0123,1.23e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,
