N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
2173,12,1,60,FOUND,53,41,5,0,10155834839939267613,1424,2094,5300,5.3,0.0053,5.3e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
2173,12,2,60,FOUND,53,41,4,0,18070911589390037774,1965,214,2800,2.8,0.0028,2.8e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
2173,12,3,60,FOUND,41,53,14,2,11685833798197492438,1211,737,8900,8.9,0.0089,8.9e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
2183,12,1,60,FOUND,59,37,3,0,17148261186416136359,99,525,1700,1.7,0.0017,1.7e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
2183,12,2,60,FOUND,37,59,8,0,8539501041485505765,370,1654,4100,4.1,0.0041,4.1e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
2183,12,3,60,FOUND,37,59,1,0,14590108163719196001,376,636,900,0.9,0.0009,9e-07,2026-02-09 23:23:50,2026-02-09 23:23:50,
2209,12,1,60,FOUND,47,47,2,0,4108697534888190248,1030,833,1400,1.4,0.0014,1.4e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
2209,12,2,60,FOUND,47,47,9,0,8774687388879024314,1784,600,4100,4.1,0.0041,4.1e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
2209,12,3,60,FOUND,47,47,7,0,305376844466006068,1488,394,3400,3.4,0.0034,3.4e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
2257,12,1,60,FOUND,37,61,5,0,2986284759159474582,2059,1500,2400,2.4,0.0024,2.4e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
2257,12,2,60,FOUND,37,61,7,1,15421944872897385931,1714,315,4400,4.4,0.0044,4.4e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
2257,12,3,60,FOUND,37,61,8,0,671461968776367482,1147,899,3800,3.8,0.0038,3.8e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
2279,12,1,60,FOUND,43,53,4,0,16880873290506082497,2185,540,2100,2.1,0.0021,2.1e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
2279,12,2,60,FOUND,43,53,4,0,8350269654628634762,772,1608,2100,2.1,0.0021,2.1e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
2279,12,3,60,FOUND,53,43,5,0,4456202398759800608,308,701,2600,2.6,0.0026,2.6e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,
