bits_p,bits_q,bits_N,N,p_true,q_true,delta,delta_bits,gap,rel_gap,status,p_found,q_found,duration_s,iterations,iter_expected_exact,iter_expected_approx,b,a0,a_target
48,48,96,60579031109602589678365352759,246128078667553,246128078671703,4096,12,4150,1.686114003096107e-11,FOUND,246128078667553,246128078671703,6.00004568696022e-07,0,0,8.746716391061056e-09,2075,246128078669628,246128078669628
48,48,96,48673104742235432206396172233,220619819466259,220619819470387,4096,12,4128,1.8710920940594397e-11,FOUND,220619819466259,220619819470387,7.00005330145359e-07,0,0,9.654835205346708e-09,2064,220619819468323,220619819468323
48,48,96,60447222124854874539671003399,245860167826849,245860167830951,4096,12,4102,1.6684280484403965e-11,FOUND,245860167826849,245860167830951,6.00004568696022e-07,0,0,8.554864818378133e-09,2051,245860167828900,245860167828900
48,48,96,59817882955000749309640884827,244576946898071,244576946902237,4096,12,4166,1.703349417351557e-11,FOUND,244576946898071,244576946902237,7.00005330145359e-07,0,0,8.870192090858233e-09,2083,244576946900154,244576946900154
48,48,96,73487054604556807889618684903,271084958275849,271084958280047,4096,12,4198,1.5485920084491443e-11,FOUND,271084958275849,271084958280047,6.00004568696022e-07,0,0,8.126236564336886e-09,2099,271084958277948,271084958277948
48,48,95,36722505328155235245604658239,191631170000071,191631170065609,65536,16,65538,3.4200072978090514e-10,FOUND,191631170000071,191631170065609,9.00006853044033e-07,0,0,2.80175547854762e-06,32769,191631170032840,191631170032840
48,48,96,75175857131724149987904820147,274182160458593,274182160524179,65536,16,65586,2.3920593477875274e-10,FOUND,274182160458593,274182160524179,5.999900167807937e-07,0,0,1.9610700547999097e-06,32793,274182160491386,274182160491386
48,48,95,34263422736345635832090450883,185103816071423,185103816137021,65536,16,65598,3.5438491426381664e-10,FOUND,185103816071423,185103816137021,7.00005330145359e-07,0,0,2.9058677007347305e-06,32799,185103816104222,185103816104222
48,48,96,44579187609766044775156125959,211137840274849,211137840340391,65536,16,65542,3.104228020164824e-10,FOUND,211137840274849,211137840340391,7.00005330145359e-07,0,0,2.543216411220536e-06,32771,211137840307620,211137840307620
48,48,95,30229962574753730028092786239,173867658186791,173867658252329,65536,16,65538,3.7694186872430665e-10,FOUND,173867658186791,173867658252329,6.999907782301307e-07,0,0,3.0880020240567013e-06,32769,173867658219560,173867658219560
48,48,95,37528388278153283151935336897,193722451629793,193722451695329,65536,16,65536,3.3829842353097554e-10,FOUND,193722451629793,193722451695329,5.999900167807937e-07,0,0,2.7713406855657517e-06,32768,193722451662561,193722451662561
48,48,96,73905463357843060656475443379,271855592806223,271855592871773,65536,16,65550,2.411206601102406e-10,FOUND,271855592806223,271855592871773,7.00005330145359e-07,0,0,1.975682408778284e-06,32775,271855592838998,271855592838998
48,48,96,48978721462958050918770290239,221311367643991,221311367709529,65536,16,65538,2.9613481082328595e-10,FOUND,221311367643991,221311367709529,5.999900167807937e-07,0,0,2.426010403967064e-06,32769,221311367676760,221311367676760
48,48,96,62330499052864952125626451121,249660767916181,249660767981741,65536,16,65560,2.625963243588302e-10,FOUND,249660767916181,249660767981741,6.00004568696022e-07,0,0,2.1519768781206133e-06,32780,249660767948961,249660767948961
48,48,95,27543004624632958428188898977,165960852654299,165960852719923,65536,16,65624,3.9541855164917787e-10,FOUND,165960852654299,165960852719923,6.00004568696022e-07,0,0,3.243618379178206e-06,32812,165960852687111,165960852687111
48,48,95,20472877130508441389416895051,143083461589637,143083462638223,1048576,20,1048586,7.328491948042639e-09,FOUND,143083461589637,143083462638223,6.999907782301307e-07,0,0,0.0009605692572287798,524293,143083462113930,143083462113930
48,48,95,20479606578863113107084238901,143106975472211,143106976520791,1048576,20,1048580,7.327245878115949e-09,FOUND,143106975472211,143106976520791,6.999907782301307e-07,0,0,0.0009604004353593528,524290,143106975996501,143106975996501
48,48,96,40554985799048413792686546551,201382684429127,201382685477713,1048576,20,1048586,5.2069322655149766e-09,FOUND,201382684429127,201382685477713,7.00005330145359e-07,0,0,0.000682489534570911,524293,201382684953420,201382684953420
48,48,96,50295689941979518695728517577,224267005390487,224267006439071,1048576,20,1048584,4.6756052934441e-09,FOUND,224267005390487,224267006439071,6.999907782301307e-07,0,0,0.0006128456126275985,524292,224267005914779,224267005914779
48,48,95,38482797709810310913615072191,196170327787123,196170328835717,1048576,20,1048594,5.345324183458362e-09,FOUND,196170327787123,196170328835717,6.999907782301307e-07,0,0,0.0007006343583536673,524297,196170328311420,196170328311420
48,48,95,34396609853425405604979741331,185463229937771,185463230986361,1048576,20,1048590,5.653896987491949e-09,FOUND,185463229937771,185463230986361,5.999900167807937e-07,0,0,0.0007410774802642728,524295,185463230462066,185463230462066
48,48,96,71866248121353768031328752537,268078809010057,268078810058641,1048576,20,1048584,3.911476635625856e-09,FOUND,268078809010057,268078810058641,7.00005330145359e-07,0,0,0.0005126889770613878,524292,268078809534349,268078809534349
48,48,96,70074900091969299556243135301,264716640607259,264716641655839,1048576,20,1048580,3.961141224510007e-09,FOUND,264716640607259,264716641655839,6.999907782301307e-07,0,0,0.0005191966831495879,524290,264716641131549,264716641131549
48,48,95,29277475314213679064132182609,171106619202151,171106620250759,1048576,20,1048608,6.128389431550868e-09,FOUND,171106619202151,171106620250759,7.00005330145359e-07,0,0,0.0008032847731299614,524304,171106619726455,171106619726455
48,48,96,62399519581610495678613320369,249798957803413,249798958852013,1048576,20,1048600,4.197775711395619e-09,FOUND,249798957803413,249798958852013,6.999907782301307e-07,0,0,0.0005502234513711807,524300,249798958327713,249798958327713
48,48,95,23996556705914441289147824459,154908211877161,154908228654419,16777216,24,16777258,1.08304504249121e-07,FOUND,154908211877161,154908228654419,7.00005330145359e-07,0,0,0.22713157629369957,8388629,154908220265790,154908220265790
48,48,96,42125855938238065208864481341,205245834293363,205245851070607,16777216,24,16777244,8.174218673941793e-08,FOUND,205245834293363,205245851070607,6.00004568696022e-07,0,0,0.17142607650259725,8388622,205245842681985,205245842681985
48,48,96,58301728618849013802086010479,241457500541723,241457517318973,16777216,24,16777250,6.948323982270379e-08,FOUND,241457500541723,241457517318973,8.00006091594696e-07,0,0,0.14571721066443205,8388625,241457508930348,241457508930348
48,48,96,52157837938498263906591052577,228380896983313,228380913760529,16777216,24,16777216,7.346155306932564e-08,FOUND,228380896983313,228380913760529,6.00004568696022e-07,0,0,0.1540600429424423,8388608,228380905371921,228380905371921
48,48,95,27629507011618267756357128833,166221250816151,166221267593383,16777216,24,16777232,1.00933130216107e-07,FOUND,166221250816151,166221267593383,6.00004568696022e-07,0,0,0.21167231776522938,8388616,166221259204767,166221259204767
48,48,96,65041868491671745536005871863,255033064940461,255033081717683,16777216,24,16777222,6.578449524604275e-08,FOUND,255033064940461,255033081717683,6.999907782301307e-07,0,0,0.1379601351126004,8388611,255033073329072,255033073329072
48,48,96,49441193443110689364361365857,222353749041103,222353765818319,16777216,24,16777216,7.545281084491462e-08,FOUND,222353749041103,222353765818319,7.00005330145359e-07,0,0,0.15823601316903427,8388608,222353757429711,222353757429711
48,48,96,60817020343015331658393757171,246611062617971,246611079395201,16777216,24,16777230,6.803113068493164e-08,FOUND,246611062617971,246611079395201,6.999907782301307e-07,0,0,0.1426717408326444,8388615,246611071006586,246611071006586
48,48,95,34486927035444621360364102723,185706553249489,185706570026707,16777216,24,16777218,9.034262361011881e-08,FOUND,185706553249489,185706570026707,7.00005330145359e-07,0,0,0.1894622363748636,8388609,185706561638098,185706561638098
48,48,95,26989796820890475951645746807,164285708643911,164285725421137,16777216,24,16777226,1.0212224350993701e-07,FOUND,164285708643911,164285725421137,7.999915396794677e-07,0,0,0.21416599487415552,8388613,164285717032524,164285717032524
48,48,95,22415225871890547315887185241,149717018680357,149717287115813,268435456,28,268435456,1.7929505791686837e-06,FOUND,149717018680357,149717287115813,1.0399991879239678e-05,60,60,60.16143828805204,134217728,149717152898025,149717152898085
48,48,95,35127070018636204508435453503,187422036345559,187422304781017,268435456,28,268435458,1.432250289244327e-06,FOUND,187422036345559,187422304781017,8.000002708286047e-06,48,48,48.05834529547935,134217729,187422170563240,187422170563288
48,48,95,29301323000191883922898111739,171176157949759,171176426385221,268435456,28,268435462,1.5681813094621062e-06,FOUND,171176157949759,171176426385221,8.699993486516178e-06,52,52,52.619434288137,134217731,171176292167438,171176292167490
48,48,96,54880385072356045578427189297,234265495084507,234265763519971,268435456,28,268435464,1.1458593597344178e-06,FOUND,234265495084507,234265763519971,6.50000583846122e-06,38,38,38.448661113625114,134217732,234265629302201,234265629302239
48,48,95,24219041220300607083713818579,155624546409467,155624814844937,268435456,28,268435470,1.7248900940277938e-06,FOUND,155624546409467,155624814844937,1.0200004908256233e-05,57,57,57.877710386065345,134217735,155624680627145,155624680627202
48,48,96,51651335547643181479502603687,227269167597631,227269436033177,268435456,28,268435546,1.181134204469372e-06,FOUND,227269167597631,227269436033177,6.600006599910557e-06,39,39,39.63230063449453,134217773,227269301815365,227269301815404
48,48,95,21643567766843829647999057467,147117396236179,147117664671673,268435456,28,268435494,1.8246329527953832e-06,FOUND,147117396236179,147117664671673,9.2999980552122e-06,61,61,61.22453100651294,134217747,147117530453865,147117530453926
48,48,95,27018062252493341838342147863,164371585529033,164371853964511,268435456,28,268435478,1.6331001367731396e-06,FOUND,164371585529033,164371853964511,8.600007276982069e-06,54,54,54.79775197955211,134217739,164371719746718,164371719746772
48,48,96,51291145953746889274002749063,226475352212401,226475620647863,268435456,28,268435462,1.1852738070301479e-06,FOUND,226475352212401,226475620647863,6.699992809444666e-06,39,39,39.77119024832258,134217731,226475486430093,226475486430132
48,48,96,49077220195340089022730393341,221533655970941,221533924406401,268435456,28,268435460,1.2117133904107094e-06,FOUND,221533655970941,221533924406401,6.700007361359894e-06,40,40,40.65835516787483,134217730,221533790188631,221533790188671
48,48,95,25829635698086437303819217321,160713861994867,160718156962163,4294967296,32,4294967296,2.672395432365175e-05,FOUND,160713861994867,160718156962163,0.002132800000254065,14347,14347,14347.313728704457,2147483648,160716009464168,160716009478515
48,48,95,32346359295777132400697859041,179848788850799,179853083818159,4294967296,32,4294967360,2.388070614388449e-05,FOUND,179848788850799,179853083818159,0.0019281999993836507,12820,12820,12820.85667680297,2147483680,179850936321659,179850936334479
48,48,95,33397499750156323381409362019,182747680846673,182751975814003,4294967296,32,4294967330,2.350189529334586e-05,FOUND,182747680846673,182751975814003,0.0018472000083420426,12617,12617,12617.484058879014,2147483665,182749828317721,182749828330338
48,48,96,75861684849424004711355143377,275427852432907,275432147400211,4294967296,32,4294967304,1.559368008362088e-05,FOUND,275427852432907,275432147400211,0.0012780000106431544,8371,8371,8371.793263268995,2147483652,275429999908188,275429999916559
48,48,96,78931693219837312513428690523,280945700389301,280949995356623,4294967296,32,4294967322,1.5287418482264197e-05,FOUND,280945700389301,280949995356623,0.0011851999879581854,8207,8207,8207.370352143182,2147483661,280947847864755,280947847872962
48,48,96,76264816899433391381214412417,276158705831993,276163000799369,4294967296,32,4294967376,1.5552412025683655e-05,FOUND,276158705831993,276163000799369,0.0014021000097272918,8349,8349,8349.637783300224,2147483688,276160853307332,276160853315681
48,48,96,79111053770695755081783801779,281264725388497,281269020355907,4294967296,32,4294967410,1.5270079146777695e-05,FOUND,281264725388497,281269020355907,0.0019428000086918473,8198,8198,8198.061535202403,2147483705,281266872864004,281266872872202
48,48,96,52638026781211983666430390649,229427638694647,229431933661967,4294967296,32,4294967320,1.8720181854897447e-05,FOUND,229427638694647,229431933661967,0.0015573999990010634,10050,10050,10050.321160964928,2147483660,229429786168257,229429786178307
48,48,95,32095330286630732129971953413,179149548827719,179153843795027,4294967296,32,4294967308,2.397391370966277e-05,FOUND,179149548827719,179153843795027,0.0019114000024273992,12870,12870,12870.896952552132,2147483654,179151696298503,179151696311373
48,48,95,28239449147633223431088218563,168043825845809,168048120813107,4294967296,32,4294967298,2.5558287492734597e-05,FOUND,168043825845809,168048120813107,0.0023508000012952834,13721,13721,13721.501120651783,2147483649,168045973315737,168045973329458
48,48,95,29925776520746142968999712803,172956327009001,173025046485803,68719476736,36,68719476802,0.00039724380225079583,FOUND,172956327009001,173025046485803,0.9656957000115653,3412298,3412298,3412298.214380273,34359738401,172990683335104,172990686747402
