N,bits_N,status,factors_str,residual,trials_tested,divisions,duration_ns,duration_ms,duration_s,source_file,started_utc,finished_utc
764873090929,40,FOUND_ALL,858167 * 891287,891287,286055,1,50722700,50.7227,0.0507227,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
794307898729,40,FOUND_ALL,814699 * 974971,974971,271566,1,44960600,44.9606,0.0449606,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
783627942341,40,FOUND_ALL,773939 * 1012519,1012519,257979,1,36452900,36.4529,0.0364529,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
558709025573,40,FOUND_ALL,594037 * 940529,940529,198012,1,38414300,38.4143,0.0384143,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
726112814123,40,FOUND_ALL,829249 * 875627,875627,276416,1,39100300,39.1003,0.0391003,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
660343059109,40,FOUND_ALL,738301 * 894409,894409,246100,1,42223700,42.2237,0.0422237,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
1024104360011,40,FOUND_ALL,980249 * 1044739,1044739,326749,1,54474800,54.4748,0.0544748,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
968182052309,40,FOUND_ALL,950401 * 1018709,1018709,316800,1,52123100,52.1231,0.0521231,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
621897924469,40,FOUND_ALL,604259 * 1029191,1029191,201419,1,29115900,29.1159,0.0291159,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
764627817559,40,FOUND_ALL,818683 * 933973,933973,272894,1,55632900,55.6329,0.0556329,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
651359211287,40,FOUND_ALL,708023 * 919969,919969,236007,1,39125500,39.1255,0.0391255,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
691504966367,40,FOUND_ALL,740681 * 933607,933607,246893,1,44838800,44.8388,0.0448388,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
1001584677367,40,FOUND_ALL,975649 * 1026583,1026583,325216,1,76696100,76.6961,0.0766961,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:44
740154940919,40,FOUND_ALL,712051 * 1039469,1039469,237350,1,43194200,43.1942,0.0431942,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:44,2026-02-17 07:08:44
567740741501,40,FOUND_ALL,616111 * 921491,921491,205370,1,39528700,39.5287,0.0395287,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:44,2026-02-17 07:08:44
821510335337,40,FOUND_ALL,862097 * 952921,952921,287365,1,40108700,40.1087,0.0401087,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:44,2026-02-17 07:08:44
625424552003,40,FOUND_ALL,633623 * 987061,987061,211207,1,37104000,37.104,0.037104,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:44,2026-02-17 07:08:44
990044546221,40,FOUND_ALL,980921 * 1009301,1009301,326973,1,48434700,48.4347,0.0484347,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:44,2026-02-17 07:08:44
620656318771,40,FOUND_ALL,619543 * 1001797,1001797,206514,1,32844800,32.8448,0.0328448,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_040bit.txt,2026-02-17 07:08:44,2026-02-17 07:08:44
