N,bits_N,status,factors_str,residual,trials_tested,divisions,duration_ns,duration_ms,duration_s,source_file,started_utc,finished_utc
217536749,28,FOUND_ALL,13901 * 15649,15649,4633,1,637800,0.6378,0.0006378,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
149953273,28,FOUND_ALL,9181 * 16333,16333,3060,1,420800,0.4208,0.0004208,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
192455149,28,FOUND_ALL,12163 * 15823,15823,4054,1,551500,0.5515,0.0005515,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
168497531,28,FOUND_ALL,11273 * 14947,14947,3757,1,469300,0.4693,0.0004693,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
214598473,28,FOUND_ALL,13687 * 15679,15679,4562,1,826400,0.8264,0.0008264,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
214174861,28,FOUND_ALL,13723 * 15607,15607,4574,1,837800,0.8378,0.0008378,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
210385339,28,FOUND_ALL,13313 * 15803,15803,4437,1,552500,0.5525,0.0005525,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
136438051,28,FOUND_ALL,10067 * 13553,13553,3355,1,423500,0.4235,0.0004235,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
163548379,28,FOUND_ALL,12601 * 12979,12979,4200,1,518200,0.5182,0.0005182,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
172934747,28,FOUND_ALL,11519 * 15013,15013,3839,1,592200,0.5922,0.0005922,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
135571627,28,FOUND_ALL,10831 * 12517,12517,3610,1,621500,0.6215,0.0006215,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
191765669,28,FOUND_ALL,13009 * 14741,14741,4336,1,547100,0.5471,0.0005471,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
195532301,28,FOUND_ALL,12637 * 15473,15473,4212,1,527200,0.5272,0.0005272,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
203406331,28,FOUND_ALL,12641 * 16091,16091,4213,1,533900,0.5339,0.0005339,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
135973349,28,FOUND_ALL,10589 * 12841,12841,3529,1,454400,0.4544,0.0004544,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
141717209,28,FOUND_ALL,9661 * 14669,14669,3220,1,398400,0.3984,0.0003984,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
177457229,28,FOUND_ALL,11177 * 15877,15877,3725,1,601900,0.6019,0.0006019,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_028bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
