N,bits_N,status,factors_str,residual,trials_tested,divisions,duration_ns,duration_ms,duration_s,source_file,started_utc,finished_utc
143,8,FOUND_ALL,11 * 13,13,3,1,13100,0.0131,1.31e-05,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
169,8,FOUND_ALL,13^2,1,4,2,5200,0.0052,5.2e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
143,8,FOUND_ALL,11 * 13,13,3,1,3400,0.0034,3.4e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
169,8,FOUND_ALL,13^2,1,4,2,3700,0.0037,3.7e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
143,8,FOUND_ALL,11 * 13,13,3,1,2500,0.0025,2.5e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
169,8,FOUND_ALL,13^2,1,4,2,2900,0.0029,2.9e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
143,8,FOUND_ALL,11 * 13,13,3,1,2200,0.0022,2.2e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
169,8,FOUND_ALL,13^2,1,4,2,4900,0.0049,4.9e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
143,8,FOUND_ALL,11 * 13,13,3,1,2900,0.0029,2.9e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
169,8,FOUND_ALL,13^2,1,4,2,2400,0.0024,2.4e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
143,8,FOUND_ALL,11 * 13,13,3,1,1700,0.0017,1.7e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
169,8,FOUND_ALL,13^2,1,4,2,2000,0.002,2e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
143,8,FOUND_ALL,11 * 13,13,3,1,1500,0.0015,1.5e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
169,8,FOUND_ALL,13^2,1,4,2,1600,0.0016,1.6e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
143,8,FOUND_ALL,11 * 13,13,3,1,1500,0.0015,1.5e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
169,8,FOUND_ALL,13^2,1,4,2,2400,0.0024,2.4e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
143,8,FOUND_ALL,11 * 13,13,3,1,2100,0.0021,2.1e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
169,8,FOUND_ALL,13^2,1,4,2,1700,0.0017,1.7e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
143,8,FOUND_ALL,11 * 13,13,3,1,1500,0.0015,1.5e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
169,8,FOUND_ALL,13^2,1,4,2,1700,0.0017,1.7e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
143,8,FOUND_ALL,11 * 13,13,3,1,1500,0.0015,1.5e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_008bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
