N,bits_N,status,factors_str,residual,trials_tested,divisions,duration_ns,duration_ms,duration_s,source_file,started_utc,finished_utc
597829995932403877,60,FOUND_ALL,696561409 * 858258853,858258853,232187136,1,33355278000,33355.278,33.355278,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:10:51,2026-02-10 01:11:25
949394768691512489,60,FOUND_ALL,895821907 * 1059803027,1059803027,298607302,1,43019241100,43019.2411,43.0192411,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:11:25,2026-02-10 01:12:08
685208407240354163,60,FOUND_ALL,670574111 * 1021823533,1021823533,223524703,1,32084142400,32084.1424,32.0841424,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:12:08,2026-02-10 01:12:40
665048628310614833,60,FOUND_ALL,664352389 * 1001047997,1001047997,221450796,1,31345929900,31345.9299,31.3459299,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:12:40,2026-02-10 01:13:11
919848272385496067,60,FOUND_ALL,958572689 * 959602003,959602003,319524229,1,45921742700,45921.7427,45.9217427,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:13:11,2026-02-10 01:13:57
723975105448038583,60,FOUND_ALL,703448269 * 1029180307,1029180307,234482756,1,33817142700,33817.1427,33.8171427,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:13:57,2026-02-10 01:14:31
605968021138697137,60,FOUND_ALL,741142243 * 817613659,817613659,247047414,1,35695912800,35695.9128,35.6959128,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:14:31,2026-02-10 01:15:06
706650698153418191,60,FOUND_ALL,752173559 * 939478249,939478249,250724519,1,36374260300,36374.2603,36.3742603,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:15:06,2026-02-10 01:15:43
901645483896532471,60,FOUND_ALL,938288101 * 960947371,960947371,312762700,1,44352986300,44352.9863,44.3529863,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:15:43,2026-02-10 01:16:27
668573750234236661,60,FOUND_ALL,753067079 * 887801059,887801059,251022359,1,35660021200,35660.0212,35.6600212,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:16:27,2026-02-10 01:17:03
862300100536456643,60,FOUND_ALL,807670309 * 1067638727,1067638727,269223436,1,37944480200,37944.4802,37.9444802,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:17:03,2026-02-10 01:17:41
668719786462046623,60,FOUND_ALL,631325077 * 1059232099,1059232099,210441692,1,29926957700,29926.9577,29.9269577,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:17:41,2026-02-10 01:18:11
773518031025690763,60,FOUND_ALL,760529197 * 1017078679,1017078679,253509732,1,35699777100,35699.7771,35.6997771,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:18:11,2026-02-10 01:18:46
621571569326909629,60,FOUND_ALL,755424331 * 822811159,822811159,251808110,1,36018801600,36018.8016,36.0188016,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:18:46,2026-02-10 01:19:22
807332310814517669,60,FOUND_ALL,769097711 * 1049713579,1049713579,256365903,1,36928901100,36928.9011,36.9289011,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:19:22,2026-02-10 01:19:59
594995348011648043,60,FOUND_ALL,679149673 * 876088691,876088691,226383224,1,32737748500,32737.7485,32.7377485,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:19:59,2026-02-10 01:20:32
706777480802737291,60,FOUND_ALL,770164807 * 917696413,917696413,256721602,1,37059964100,37059.9641,37.0599641,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:20:32,2026-02-10 01:21:09
808640700402881597,60,FOUND_ALL,820717067 * 985285591,985285591,273572355,1,38415760200,38415.7602,38.4157602,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:21:09,2026-02-10 01:21:48
804688010151516109,60,FOUND_ALL,875896381 * 918702289,918702289,291965460,1,41961675000,41961.675,41.961675,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:21:48,2026-02-10 01:22:30
610584113928456643,60,FOUND_ALL,678346211 * 900106913,900106913,226115403,1,32094841600,32094.8416,32.0948416,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:22:30,2026-02-10 01:23:02
876962315105618029,60,FOUND_ALL,861109003 * 1018410343,1018410343,287036334,1,40190014700,40190.0147,40.1900147,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:23:02,2026-02-10 01:23:42
822661973171946403,60,FOUND_ALL,895444999 * 918718597,918718597,298481666,1,42798769600,42798.7696,42.7987696,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:23:42,2026-02-10 01:24:25
850766172310985537,60,FOUND_ALL,805489871 * 1056209647,1056209647,268496623,1,38841486200,38841.4862,38.8414862,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:24:25,2026-02-10 01:25:03
698006605432418609,60,FOUND_ALL,796344193 * 876513713,876513713,265448064,1,37323540900,37323.5409,37.3235409,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:25:03,2026-02-10 01:25:41
715317455811050539,60,FOUND_ALL,844157731 * 847374169,847374169,281385910,1,39377091000,39377.091,39.377091,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_060bit.txt,2026-02-10 01:25:41,2026-02-10 01:26:20
