N,bits_N,status,factors_str,residual,trials_tested,divisions,duration_ns,duration_ms,duration_s,source_file,started_utc,finished_utc
2173,12,FOUND_ALL,41 * 53,53,13,1,6200,0.0062,6.2e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2183,12,FOUND_ALL,37 * 59,59,12,1,3500,0.0035,3.5e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2209,12,FOUND_ALL,47^2,1,15,2,3600,0.0036,3.6e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2257,12,FOUND_ALL,37 * 61,61,12,1,2800,0.0028,2.8e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2279,12,FOUND_ALL,43 * 53,53,14,1,3100,0.0031,3.1e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2419,12,FOUND_ALL,41 * 59,59,13,1,2900,0.0029,2.9e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2491,12,FOUND_ALL,47 * 53,53,15,1,3000,0.003,3e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2501,12,FOUND_ALL,41 * 61,61,13,1,2700,0.0027,2.7e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2537,12,FOUND_ALL,43 * 59,59,14,1,3200,0.0032,3.2e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2623,12,FOUND_ALL,43 * 61,61,14,1,3000,0.003,3e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2773,12,FOUND_ALL,47 * 59,59,15,1,4800,0.0048,4.8e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2809,12,FOUND_ALL,53^2,1,17,2,4500,0.0045,4.5e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2867,12,FOUND_ALL,47 * 61,61,15,1,3800,0.0038,3.8e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
3127,12,FOUND_ALL,53 * 59,59,17,1,5500,0.0055,5.5e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
3233,12,FOUND_ALL,53 * 61,61,17,1,4700,0.0047,4.7e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
3481,12,FOUND_ALL,59^2,1,19,2,3700,0.0037,3.7e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
3599,12,FOUND_ALL,59 * 61,61,19,1,3500,0.0035,3.5e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
3721,12,FOUND_ALL,61^2,1,20,2,3800,0.0038,3.8e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2173,12,FOUND_ALL,41 * 53,53,13,1,2700,0.0027,2.7e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2183,12,FOUND_ALL,37 * 59,59,12,1,2700,0.0027,2.7e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2209,12,FOUND_ALL,47^2,1,15,2,3200,0.0032,3.2e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_012bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
