N,bits_N,status,factors_str,residual,trials_tested,divisions,duration_ns,duration_ms,duration_s,source_file,started_utc,finished_utc
2834613590077752425989,72,FOUND_ALL,46771718089 * 60605291101,60605291101,15590572696,1,3074166561400,3074166.5614,3074.1665614,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_072bit.txt,2026-02-10 08:32:11,2026-02-10 09:23:26
3265080631503093453707,72,FOUND_ALL,48476232767 * 67354256821,67354256821,16158744255,1,3238038571300,3238038.5713,3238.0385713,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_072bit.txt,2026-02-10 09:23:26,2026-02-10 10:17:24
2515851322410524529461,72,FOUND_ALL,42947714507 * 58579399423,58579399423,14315904835,1,2823000879200,2823000.8792,2823.0008792,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_072bit.txt,2026-02-10 10:17:24,2026-02-10 11:04:27
2502839121031025077603,72,FOUND_ALL,42950869289 * 58272141227,58272141227,14316956429,1,2821495392100,2821495.3921,2821.4953921,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_072bit.txt,2026-02-10 11:04:27,2026-02-10 11:51:28
3393463274376576069199,72,FOUND_ALL,52530860357 * 64599423107,64599423107,17510286785,1,3505832389000,3505832.389,3505.832389,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_072bit.txt,2026-02-10 11:51:28,2026-02-10 12:49:54
3849589897497094796783,72,FOUND_ALL,58387974599 * 65931211417,65931211417,19462658199,1,3909131082200,3909131.0822,3909.1310822,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_072bit.txt,2026-02-10 12:49:54,2026-02-10 13:55:03
3155036186185862963893,72,FOUND_ALL,53797992499 * 58645983607,58645983607,17932664166,1,3542646337300,3542646.3373,3542.6463373,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_072bit.txt,2026-02-10 13:55:03,2026-02-10 14:54:06
3595033672012886674127,72,FOUND_ALL,58871712461 * 61065552907,61065552907,19623904153,1,3964540379100,3964540.3791,3964.5403791,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_072bit.txt,2026-02-10 14:54:06,2026-02-10 16:00:10
4218735549492807499369,72,FOUND_ALL,63308586013 * 66637652413,66637652413,21102862004,1,4174976375700,4174976.3757,4174.9763757,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_072bit.txt,2026-02-10 16:00:10,2026-02-10 17:09:45
2509545483835948734367,72,FOUND_ALL,38880129833 * 64545707399,64545707399,12960043277,1,2536408662600,2536408.6626,2536.4086626,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_072bit.txt,2026-02-10 17:09:45,2026-02-10 17:52:02
2993430319367200973641,72,FOUND_ALL,43813194379 * 68322576379,68322576379,14604398126,1,2912155378900,2912155.3789,2912.1553789,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_072bit.txt,2026-02-10 17:52:02,2026-02-10 18:40:34
2554700388098470497163,72,FOUND_ALL,39811571537 * 64169795099,64169795099,13270523845,1,2640473959900,2640473.9599,2640.4739599,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_072bit.txt,2026-02-10 18:40:34,2026-02-10 19:24:34
