N,bits_N,status,factors_str,residual,trials_tested,divisions,duration_ns,duration_ms,duration_s,source_file,started_utc,finished_utc
3575505929,32,FOUND_ALL,58741 * 60869,60869,19580,1,5386300,5.3863,0.0053863,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_032bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
3553724561,32,FOUND_ALL,58171 * 61091,61091,19390,1,5586900,5.5869,0.0055869,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_032bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2607597361,32,FOUND_ALL,50873 * 51257,51257,16957,1,2591600,2.5916,0.0025916,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_032bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2372164337,32,FOUND_ALL,39113 * 60649,60649,13037,1,2612600,2.6126,0.0026126,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_032bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
3586698211,32,FOUND_ALL,58481 * 61331,61331,19493,1,2640100,2.6401,0.0026401,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_032bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2325318643,32,FOUND_ALL,36451 * 63793,63793,12150,1,2038800,2.0388,0.0020388,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_032bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2885115061,32,FOUND_ALL,51407 * 56123,56123,17135,1,2618500,2.6185,0.0026185,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_032bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2411522513,32,FOUND_ALL,37003 * 65171,65171,12334,1,1909100,1.9091,0.0019091,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_032bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
3509247551,32,FOUND_ALL,57073 * 61487,61487,19024,1,2628500,2.6285,0.0026285,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_032bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2299380221,32,FOUND_ALL,44201 * 52021,52021,14733,1,2679100,2.6791,0.0026791,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_032bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
2214849493,32,FOUND_ALL,41281 * 53653,53653,13760,1,2585000,2.585,0.002585,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_032bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
