N,bits_N,status,factors_str,residual,trials_tested,divisions,duration_ns,duration_ms,duration_s,source_file,started_utc,finished_utc
47941,16,FOUND_ALL,191 * 251,251,63,1,11700,0.0117,1.17e-05,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
53297,16,FOUND_ALL,223 * 239,239,74,1,10500,0.0105,1.05e-05,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
49447,16,FOUND_ALL,197 * 251,251,65,1,11600,0.0116,1.16e-05,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
42593,16,FOUND_ALL,191 * 223,223,63,1,9100,0.0091,9.1e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
38957,16,FOUND_ALL,163 * 239,239,54,1,8200,0.0082,8.2e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
45901,16,FOUND_ALL,197 * 233,233,65,1,9500,0.0095,9.5e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
38191,16,FOUND_ALL,181 * 211,211,60,1,8800,0.0088,8.8e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
42173,16,FOUND_ALL,181 * 233,233,60,1,8700,0.0087,8.7e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
47477,16,FOUND_ALL,197 * 241,241,65,1,9600,0.0096,9.6e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
54731,16,FOUND_ALL,229 * 239,239,76,1,10800,0.0108,1.08e-05,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
39407,16,FOUND_ALL,157 * 251,251,52,1,7700,0.0077,7.7e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
57479,16,FOUND_ALL,229 * 251,251,76,1,10700,0.0107,1.07e-05,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
58081,16,FOUND_ALL,241^2,1,80,2,11800,0.0118,1.18e-05,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
50851,16,FOUND_ALL,211 * 241,241,70,1,10200,0.0102,1.02e-05,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
34393,16,FOUND_ALL,163 * 211,211,54,1,8400,0.0084,8.4e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
33499,16,FOUND_ALL,139 * 241,241,46,1,7000,0.007,7e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
35263,16,FOUND_ALL,179 * 197,197,59,1,8500,0.0085,8.5e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
43811,16,FOUND_ALL,193 * 227,227,64,1,9200,0.0092,9.2e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
39203,16,FOUND_ALL,197 * 199,199,65,1,9400,0.0094,9.4e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
40991,16,FOUND_ALL,179 * 229,229,59,1,8700,0.0087,8.7e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
55687,16,FOUND_ALL,233 * 239,239,77,1,11000,0.011,1.1e-05,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
36503,16,FOUND_ALL,173 * 211,211,57,1,8700,0.0087,8.7e-06,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_016bit.txt,2026-02-17 07:08:43,2026-02-17 07:08:43
