N,bits_N,status,factors_str,residual,trials_tested,divisions,duration_ns,duration_ms,duration_s,source_file,started_utc,finished_utc
11298868314832329571,64,FOUND_ALL,3266589829 * 3458918599,3458918599,1088863276,1,201870286300,201870.2863,201.8702863,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_064bit.txt,2026-02-10 01:26:20,2026-02-10 01:29:42
10442340804070385579,64,FOUND_ALL,2828490407 * 3691842397,3691842397,942830135,1,176944453200,176944.4532,176.9444532,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_064bit.txt,2026-02-10 01:29:42,2026-02-10 01:32:39
13318254525341089843,64,FOUND_ALL,3198223969 * 4164265747,4164265747,1066074656,1,204130382200,204130.3822,204.1303822,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_064bit.txt,2026-02-10 01:32:39,2026-02-10 01:36:03
9225136234046815613,64,FOUND_ALL,2497512727 * 3693729419,3693729419,832504242,1,146369498900,146369.4989,146.3694989,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_064bit.txt,2026-02-10 01:36:03,2026-02-10 01:38:29
9993158972817680731,64,FOUND_ALL,2405829347 * 4153727273,4153727273,801943115,1,136677475600,136677.4756,136.6774756,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_064bit.txt,2026-02-10 01:38:29,2026-02-10 01:40:46
11553733256986796077,64,FOUND_ALL,2840983571 * 4066807487,4066807487,946994523,1,167166675700,167166.6757,167.1666757,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_064bit.txt,2026-02-10 01:40:46,2026-02-10 01:43:33
10068708482618095327,64,FOUND_ALL,2874619357 * 3502623211,3502623211,958206452,1,168239972700,168239.9727,168.2399727,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_064bit.txt,2026-02-10 01:43:33,2026-02-10 01:46:22
10977442933088209373,64,FOUND_ALL,3259360201 * 3367974773,3367974773,1086453400,1,194253901200,194253.9012,194.2539012,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_064bit.txt,2026-02-10 01:46:22,2026-02-10 01:49:36
9930400506476051401,64,FOUND_ALL,2332059137 * 4258211273,4258211273,777353045,1,131827370000,131827.37,131.82737,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_064bit.txt,2026-02-10 01:49:36,2026-02-10 01:51:48
9390955197638304083,64,FOUND_ALL,2253098389 * 4168018247,4168018247,751032796,1,126890943300,126890.9433,126.8909433,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_064bit.txt,2026-02-10 01:51:48,2026-02-10 01:53:55
13683879160672906447,64,FOUND_ALL,3307826441 * 4136818967,4136818967,1102608813,1,197665807800,197665.8078,197.6658078,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_064bit.txt,2026-02-10 01:53:55,2026-02-10 01:57:12
14898173718526602773,64,FOUND_ALL,3716950051 * 4008171623,4008171623,1238983350,1,225191025400,225191.0254,225.1910254,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_064bit.txt,2026-02-10 01:57:12,2026-02-10 02:00:57
