N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
47941,16,1,60,FOUND,251,191,14,0,9251793356996137393,45143,29566,8600,8.6,0.0086,8.6e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
47941,16,2,60,FOUND,191,251,18,0,17331585214453908077,24944,14,9300,9.3,0.0093,9.3e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
47941,16,3,60,FOUND,251,191,9,0,6710350342364505664,42340,31510,4700,4.7,0.0047,4.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
53297,16,1,60,FOUND,223,239,11,0,5603770652604009084,37807,38996,5900,5.9,0.0059,5.9e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
53297,16,2,60,FOUND,223,239,7,0,4759041052550539176,17681,29551,3700,3.7,0.0037,3.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
53297,16,3,60,FOUND,239,223,10,0,10541258958359070685,38558,887,5000,5.0,0.005,5e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
49447,16,1,60,FOUND,251,197,15,0,11487737901040527940,37774,16739,7300,7.3,0.0073,7.3e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
49447,16,2,60,FOUND,251,197,20,0,11598502753455174041,42535,37034,9700,9.7,0.0097,9.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
49447,16,3,60,FOUND,197,251,8,0,12369438402429500258,44449,17007,3900,3.9,0.0039,3.9e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
42593,16,1,60,FOUND,191,223,7,0,224056663918417484,20895,17993,3700,3.7,0.0037,3.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
42593,16,2,60,FOUND,191,223,10,0,18431693302730023057,13942,20773,5000,5.0,0.005,5e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
42593,16,3,60,FOUND,191,223,16,1,13406351128816350729,11397,11552,8900,8.9,0.0089,8.9e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
38957,16,1,60,FOUND,163,239,5,0,6248758718250871276,18405,35311,2800,2.8,0.0028,2.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
38957,16,2,60,FOUND,163,239,9,0,9038530809263191513,17141,2752,5800,5.8,0.0058,5.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
38957,16,3,60,FOUND,239,163,9,0,1643626447089767029,24797,22377,4800,4.8,0.0048,4.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
45901,16,1,60,FOUND,233,197,12,0,6532192460258914162,12090,38916,6500,6.5,0.0065,6.5e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
45901,16,2,60,FOUND,197,233,20,0,17329741869031511907,17004,1565,9600,9.6,0.0096,9.6e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
45901,16,3,60,FOUND,233,197,2,0,484845273884435560,43702,43316,1400,1.4,0.0014,1.4e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
38191,16,1,60,FOUND,211,181,8,0,12782628414305876246,33043,19231,4400,4.4,0.0044,4.4e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
38191,16,2,60,FOUND,211,181,13,0,7938608590803395956,24528,22410,6200,6.2,0.0062,6.2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
38191,16,3,60,FOUND,181,211,14,0,15393195950886232697,26592,30055,6500,6.5,0.0065,6.5e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
42173,16,1,60,FOUND,181,233,11,0,13871646165893978812,32524,37027,5400,5.4,0.0054,5.4e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
42173,16,2,60,FOUND,181,233,14,0,5101411700771124464,6462,13510,6800,6.8,0.0068,6.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
42173,16,3,60,FOUND,181,233,8,0,2839459681075032696,27602,19236,4700,4.7,0.0047,4.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
47477,16,1,60,FOUND,197,241,18,0,16532381873885003718,24490,8136,8700,8.7,0.0087,8.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
47477,16,2,60,FOUND,241,197,6,0,5034860153556971878,39490,22051,3300,3.3,0.0033,3.3e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
47477,16,3,60,FOUND,197,241,10,0,6475840285667377630,9801,10228,5500,5.5,0.0055,5.5e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
54731,16,1,60,FOUND,239,229,15,0,88584974243317180,8461,54597,7800,7.8,0.0078,7.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
54731,16,2,60,FOUND,239,229,25,1,17065860945456632784,1568,18109,14200,14.2,0.0142,1.42e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
54731,16,3,60,FOUND,239,229,16,0,1852856663380132034,5838,37831,7700,7.7,0.0077,7.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
39407,16,1,60,FOUND,157,251,4,0,10217981301820497122,7545,15270,2200,2.2,0.0022,2.2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
39407,16,2,60,FOUND,157,251,12,0,14366269679350638250,29957,14558,5700,5.7,0.0057,5.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
39407,16,3,60,FOUND,157,251,14,0,10695527882172575589,33285,33984,6800,6.8,0.0068,6.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
57479,16,1,60,FOUND,251,229,10,0,17427278868815688500,52219,12334,5100,5.1,0.0051,5.1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
57479,16,2,60,FOUND,229,251,8,0,8600973944700618583,27499,40179,4200,4.2,0.0042,4.2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
57479,16,3,60,FOUND,229,251,11,0,5383779748969254896,18530,44936,5500,5.5,0.0055,5.5e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
58081,16,1,60,FOUND,241,241,12,0,15200457623914600610,33474,45736,6300,6.3,0.0063,6.3e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
58081,16,2,60,FOUND,241,241,37,0,12512236997196155048,27518,54271,17000,17.0,0.017,1.7e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
58081,16,3,60,FOUND,241,241,12,0,4818864136619424906,33706,51296,6200,6.2,0.0062,6.2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
50851,16,1,60,FOUND,241,211,2,0,15853808326981163428,15795,20845,1300,1.3,0.0013,1.3e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
50851,16,2,60,FOUND,211,241,17,0,8625022473064892177,2411,14502,9200,9.2,0.0092,9.2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
50851,16,3,60,FOUND,241,211,3,0,6805368808950790871,24223,40835,2000,2.0,0.002,2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
