N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
3483648322291141,52,1,60,FOUND,55071073,63257317,7489,0,7880806825161751009,1741419194591935,702082635172569,7491300,7491.3,7.4913,0.0074913,2026-02-17 12:05:54,2026-02-17 12:05:54,
3483648322291141,52,2,60,FOUND,63257317,55071073,1429,0,782832565412276209,1116678980801920,1243928738780115,1643300,1643.3,1.6433,0.0016433,2026-02-17 12:05:54,2026-02-17 12:05:54,
3483648322291141,52,3,60,FOUND,55071073,63257317,3296,0,5253578775688410890,2544837021085893,1636941641555270,3946400,3946.4,3.9464,0.0039464,2026-02-17 12:05:54,2026-02-17 12:05:54,
3405814831548583,52,1,60,FOUND,66535939,51187597,6560,0,11672531532997894239,642415006216942,243343059988180,6362600,6362.6,6.3626,0.0063626,2026-02-17 12:05:54,2026-02-17 12:05:54,
3405814831548583,52,2,60,FOUND,66535939,51187597,4242,0,14092892614643818673,658078427040171,254966675966335,3079000,3079.0,3.079,0.003079,2026-02-17 12:05:54,2026-02-17 12:05:54,
3405814831548583,52,3,60,FOUND,51187597,66535939,4691,0,288774880407030598,3199908960122988,2784665900081875,3471200,3471.2,3.4712,0.0034712,2026-02-17 12:05:54,2026-02-17 12:05:54,
2720894186765453,52,1,60,FOUND,57099149,47652097,6080,0,8878406909721859472,168502833850743,639355768339079,4736400,4736.4,4.7364,0.0047364,2026-02-17 12:05:54,2026-02-17 12:05:54,
2720894186765453,52,2,60,FOUND,47652097,57099149,2689,0,10950830435221591741,1697033241282553,1022897078713879,2049600,2049.6,2.0496,0.0020496,2026-02-17 12:05:54,2026-02-17 12:05:54,
2720894186765453,52,3,60,FOUND,57099149,47652097,5727,0,16297836316927148491,1859306441527219,457766567477773,4376600,4376.6,4.3766,0.0043766,2026-02-17 12:05:54,2026-02-17 12:05:54,
3053988422755289,52,1,60,FOUND,49060877,62248957,9842,0,17089351909209713934,1532824801493158,1643879071655281,7303000,7303.0,7.303,0.007303,2026-02-17 12:05:54,2026-02-17 12:05:54,
3053988422755289,52,2,60,FOUND,49060877,62248957,4281,0,14588963651191801344,156061826660612,3001463566588290,3183300,3183.3,3.1833,0.0031833,2026-02-17 12:05:54,2026-02-17 12:05:54,
3053988422755289,52,3,60,FOUND,49060877,62248957,1293,0,7579999072299976234,1847577986758460,1492648833514329,984700,984.7,0.9847,0.0009847,2026-02-17 12:05:54,2026-02-17 12:05:54,
3963601494436217,52,1,60,FOUND,60098419,65951843,5220,0,3178437731682458087,67627852987453,2848570440260213,3920900,3920.9,3.9209,0.0039209,2026-02-17 12:05:54,2026-02-17 12:05:54,
3963601494436217,52,2,60,FOUND,60098419,65951843,4806,0,1508230709589863612,3407932062761803,490772659575529,3667100,3667.1,3.6671,0.0036671,2026-02-17 12:05:54,2026-02-17 12:05:54,
3963601494436217,52,3,60,FOUND,60098419,65951843,7156,0,4152967792259116751,716482123666429,2555913999072123,5423800,5423.8,5.4238,0.0054238,2026-02-17 12:05:54,2026-02-17 12:05:54,
3071985007803539,52,1,60,FOUND,47843371,64209209,3120,0,9346429200291339768,750080497214407,2403054758077095,2483200,2483.2,2.4832,0.0024832,2026-02-17 12:05:54,2026-02-17 12:05:54,
3071985007803539,52,2,60,FOUND,64209209,47843371,12124,0,6435827415495663128,2529711798739526,2545559859163935,9301400,9301.4,9.3014,0.0093014,2026-02-17 12:05:54,2026-02-17 12:05:54,
3071985007803539,52,3,60,FOUND,47843371,64209209,3276,0,3543310412746269989,982144018491466,2676104817284620,4123400,4123.4,4.1234,0.0041234,2026-02-17 12:05:54,2026-02-17 12:05:54,
2882696092633151,52,1,60,FOUND,51440567,56039353,486,0,17341915101408699079,189564629788331,1446330611484696,569800,569.8,0.5698,0.0005698,2026-02-17 12:05:54,2026-02-17 12:05:54,
2882696092633151,52,2,60,FOUND,56039353,51440567,5970,0,11582908618927749619,1340951417097342,1375219670749695,5421800,5421.8,5.4218,0.0054218,2026-02-17 12:05:54,2026-02-17 12:05:54,
2882696092633151,52,3,60,FOUND,56039353,51440567,3159,0,1683667830755638954,1433613986355842,1912984295037221,2302600,2302.6,2.3026,0.0023026,2026-02-17 12:05:54,2026-02-17 12:05:54,
2915513407476233,52,1,60,FOUND,49244893,59204381,1954,0,587610915127354729,2717634083899583,1323774920580668,1430200,1430.2,1.4302,0.0014302,2026-02-17 12:05:54,2026-02-17 12:05:54,
2915513407476233,52,2,60,FOUND,59204381,49244893,8944,0,10693754640766699601,1596493434134888,2882099919674423,7905500,7905.5,7.9055,0.0079055,2026-02-17 12:05:54,2026-02-17 12:05:54,
2915513407476233,52,3,60,FOUND,59204381,49244893,2400,0,4967173807932068046,1915076500792070,970130234320292,1898500,1898.5,1.8985,0.0018985,2026-02-17 12:05:54,2026-02-17 12:05:54,
2519912315304529,52,1,60,FOUND,52943413,47596333,3233,0,4384739466712390710,250306171206485,1640992988937239,2453300,2453.3,2.4533,0.0024533,2026-02-17 12:05:54,2026-02-17 12:05:54,
2519912315304529,52,2,60,FOUND,47596333,52943413,1900,0,4167748195908858489,1044382524487915,1780256771274685,1371700,1371.7,1.3717,0.0013717,2026-02-17 12:05:54,2026-02-17 12:05:54,
2519912315304529,52,3,60,FOUND,47596333,52943413,3345,0,15490531919236632838,2491732904239454,1282783950658037,2485600,2485.6,2.4856,0.0024856,2026-02-17 12:05:54,2026-02-17 12:05:54,
3048850487438291,52,1,60,FOUND,53880971,56584921,3795,0,5611454256645382633,83005732450824,2587249059096421,2676100,2676.1,2.6761,0.0026761,2026-02-17 12:05:54,2026-02-17 12:05:54,
3048850487438291,52,2,60,FOUND,53880971,56584921,3107,0,9350305718555717059,2185772024753932,2573043020566241,2254300,2254.3,2.2543,0.0022543,2026-02-17 12:05:54,2026-02-17 12:05:54,
3048850487438291,52,3,60,FOUND,53880971,56584921,3913,0,16661747176762996113,782286817662495,1846725710286010,4519000,4519.0,4.519,0.004519,2026-02-17 12:05:54,2026-02-17 12:05:54,
2702452279177901,52,1,60,FOUND,61472987,43961623,8168,0,10965337515697978278,2683881863614412,2468214180241076,6517500,6517.5,6.5175,0.0065175,2026-02-17 12:05:54,2026-02-17 12:05:54,
2702452279177901,52,2,60,FOUND,43961623,61472987,6433,0,17725746914367314505,205270216734381,338979382234552,4734200,4734.2,4.7342,0.0047342,2026-02-17 12:05:54,2026-02-17 12:05:54,
2702452279177901,52,3,60,FOUND,43961623,61472987,6526,0,15465611015535153910,1829292047557481,2474043931605576,5594900,5594.9,5.5949,0.0055949,2026-02-17 12:05:54,2026-02-17 12:05:54,
3299753494960453,52,1,60,FOUND,54064957,61033129,3745,0,13511660192702727086,387615830751122,337370893502865,2731100,2731.1,2.7311,0.0027311,2026-02-17 12:05:54,2026-02-17 12:05:54,
3299753494960453,52,2,60,FOUND,54064957,61033129,3883,0,5321276319902616062,2075973267050625,2419851044353042,2957300,2957.3,2.9573,0.0029573,2026-02-17 12:05:54,2026-02-17 12:05:54,
3299753494960453,52,3,60,FOUND,54064957,61033129,7354,0,18402474373407977499,213130989738000,327226086637421,5402600,5402.6,5.4026,0.0054026,2026-02-17 12:05:54,2026-02-17 12:05:54,
3209766114149083,52,1,60,FOUND,54061811,59372153,4988,0,4307168372735376627,1291385574771051,42271560312297,3715400,3715.4,3.7154,0.0037154,2026-02-17 12:05:54,2026-02-17 12:05:54,
3209766114149083,52,2,60,FOUND,59372153,54061811,5391,0,4610143583756764255,124088206824186,1013223566888825,3865400,3865.4,3.8654,0.0038654,2026-02-17 12:05:54,2026-02-17 12:05:54,
3209766114149083,52,3,60,FOUND,54061811,59372153,10392,0,7890511762124526193,700923878604681,1720396864756222,9766900,9766.9,9.7669,0.0097669,2026-02-17 12:05:54,2026-02-17 12:05:54,
2835429334801279,52,1,60,FOUND,43820393,64705703,2965,0,11888353892621540938,1576079463149681,1146303518991057,2246600,2246.6,2.2466,0.0022466,2026-02-17 12:05:54,2026-02-17 12:05:54,
2835429334801279,52,2,60,FOUND,64705703,43820393,3597,0,14845893699091279748,1680299581984449,1196210436084929,2542400,2542.4,2.5424,0.0025424,2026-02-17 12:05:54,2026-02-17 12:05:54,
2835429334801279,52,3,60,FOUND,43820393,64705703,1698,0,9595733060718906157,2828541219070814,1157308700619722,1197100,1197.1,1.1971,0.0011971,2026-02-17 12:05:54,2026-02-17 12:05:54,
2886353681546089,52,1,60,FOUND,65229259,44249371,2936,0,12401715031037522923,673802617299888,177268020573701,2231500,2231.5,2.2315,0.0022315,2026-02-17 12:05:54,2026-02-17 12:05:54,
2886353681546089,52,2,60,FOUND,65229259,44249371,5892,0,11923073814067903781,486183874068200,833868382849667,4234800,4234.8,4.2348,0.0042348,2026-02-17 12:05:54,2026-02-17 12:05:54,
2886353681546089,52,3,60,FOUND,65229259,44249371,6865,0,17225457131337202312,1076729084664879,1145470127835346,5205600,5205.6,5.2056,0.0052056,2026-02-17 12:05:54,2026-02-17 12:05:54,
2672743288192771,52,1,60,FOUND,46327901,57691871,2292,0,10371787200252175177,86832156165541,2440814432954276,1667600,1667.6,1.6676,0.0016676,2026-02-17 12:05:54,2026-02-17 12:05:54,
2672743288192771,52,2,60,FOUND,46327901,57691871,11541,0,4194681215800886618,1045971997720853,826071906579078,8323000,8323.0,8.323,0.008323,2026-02-17 12:05:54,2026-02-17 12:05:54,
2672743288192771,52,3,60,FOUND,57691871,46327901,10092,0,9849339699106425121,1063616432310834,1072443589674993,7513600,7513.6,7.5136,0.0075136,2026-02-17 12:05:54,2026-02-17 12:05:54,
3604229486662067,52,1,60,FOUND,56212103,64118389,10932,0,9650235253384785156,64778061117720,1169522539537016,8251600,8251.6,8.2516,0.0082516,2026-02-17 12:05:54,2026-02-17 12:05:54,
3604229486662067,52,2,60,FOUND,56212103,64118389,2050,0,2888764081017006397,2103356775810990,1766029297798505,1502900,1502.9,1.5029,0.0015029,2026-02-17 12:05:54,2026-02-17 12:05:54,
3604229486662067,52,3,60,FOUND,56212103,64118389,2652,0,10099273986683848124,2054783860931259,1127260521477594,1948100,1948.1,1.9481,0.0019481,2026-02-17 12:05:54,2026-02-17 12:05:54,
3259747916085917,52,1,60,FOUND,65734079,49589923,1932,0,13539804104541614952,278718758956686,2264109704222895,1429300,1429.3,1.4293,0.0014293,2026-02-17 12:05:54,2026-02-17 12:05:54,
3259747916085917,52,2,60,FOUND,49589923,65734079,7834,0,6879873078860673178,1925002451592834,1402277950405803,5984700,5984.7,5.9847,0.0059847,2026-02-17 12:05:54,2026-02-17 12:05:54,
3259747916085917,52,3,60,FOUND,49589923,65734079,4591,0,17492301002543842004,3119854679106321,2904058999471017,3345100,3345.1,3.3451,0.0033451,2026-02-17 12:05:54,2026-02-17 12:05:54,
2922810340393129,52,1,60,FOUND,56644271,51599399,3360,0,9507465983076839566,2155898768155588,2010369878269233,2430000,2430.0,2.43,0.00243,2026-02-17 12:05:54,2026-02-17 12:05:54,
2922810340393129,52,2,60,FOUND,51599399,56644271,6204,0,1987724744229755651,511777777359873,264477407284904,4409400,4409.4,4.4094,0.0044094,2026-02-17 12:05:54,2026-02-17 12:05:54,
2922810340393129,52,3,60,FOUND,56644271,51599399,15210,0,11272531409732488244,1300467309099473,553146810383292,13117900,13117.9,13.1179,0.0131179,2026-02-17 12:05:54,2026-02-17 12:05:54,
2562042275497561,52,1,60,FOUND,40485539,63282899,4322,0,512679627473302790,1833859134675407,1908617264909796,3145700,3145.7,3.1457,0.0031457,2026-02-17 12:05:54,2026-02-17 12:05:54,
2562042275497561,52,2,60,FOUND,40485539,63282899,6003,0,9236493936991870925,1822575741566819,865281342189366,5867400,5867.4,5.8674,0.0058674,2026-02-17 12:05:54,2026-02-17 12:05:54,
2562042275497561,52,3,60,FOUND,40485539,63282899,2217,0,5970508790968579754,692631480030864,2328990420101636,1711500,1711.5,1.7115,0.0017115,2026-02-17 12:05:54,2026-02-17 12:05:54,
2654500605502643,52,1,60,FOUND,42157289,62966587,2864,0,18411491520033614648,2582838178887111,1055365590495749,2125700,2125.7,2.1257,0.0021257,2026-02-17 12:05:54,2026-02-17 12:05:54,
2654500605502643,52,2,60,FOUND,42157289,62966587,3588,0,16771191258609044906,2152261591537029,267091055894779,2734100,2734.1,2.7341,0.0027341,2026-02-17 12:05:54,2026-02-17 12:05:54,
2654500605502643,52,3,60,FOUND,62966587,42157289,8246,0,1771693718097822355,2558086177706115,1492192486844578,5963200,5963.2,5.9632,0.0059632,2026-02-17 12:05:54,2026-02-17 12:05:54,
2559846747935227,52,1,60,FOUND,44386411,57671857,374,0,1530188679526749819,2321837319453388,1132050051648432,592200,592.2,0.5922,0.0005922,2026-02-17 12:05:54,2026-02-17 12:05:54,
2559846747935227,52,2,60,FOUND,44386411,57671857,4105,0,17025310538550710323,2473978732486194,1547562671348268,2940200,2940.2,2.9402,0.0029402,2026-02-17 12:05:54,2026-02-17 12:05:54,
2559846747935227,52,3,60,FOUND,57671857,44386411,11335,0,16454831334607107611,294742407752442,2212018891029837,8134100,8134.1,8.1341,0.0081341,2026-02-17 12:05:54,2026-02-17 12:05:54,
3088225413969373,52,1,60,FOUND,56644813,54519121,3336,0,3055178658725129198,1160631968399179,2914788268747521,2347400,2347.4,2.3474,0.0023474,2026-02-17 12:05:54,2026-02-17 12:05:54,
3088225413969373,52,2,60,FOUND,54519121,56644813,1668,0,5472321095483524027,1901573898980331,1645211277180293,1198200,1198.2,1.1982,0.0011982,2026-02-17 12:05:54,2026-02-17 12:05:54,
3088225413969373,52,3,60,FOUND,56644813,54519121,6099,0,11069314704920333458,226634604636215,2568401326029893,4690700,4690.7,4.6907,0.0046907,2026-02-17 12:05:54,2026-02-17 12:05:54,
3965581003623529,52,1,60,FOUND,63688237,62265517,6014,0,7015667684327562060,3568442196575990,3088145782469074,4260500,4260.5,4.2605,0.0042605,2026-02-17 12:05:54,2026-02-17 12:05:54,
3965581003623529,52,2,60,FOUND,62265517,63688237,4562,0,16650062187877627575,3642518730881330,2634598690012999,3245300,3245.3,3.2453,0.0032453,2026-02-17 12:05:54,2026-02-17 12:05:54,
3965581003623529,52,3,60,FOUND,63688237,62265517,1893,0,9114356706434664747,1689416625822677,1145262226044002,1403100,1403.1,1.4031,0.0014031,2026-02-17 12:05:54,2026-02-17 12:05:54,
3596448308627477,52,1,60,FOUND,53912609,66708853,12016,0,1502450023343589853,2424705587306932,2188070328440528,10003200,10003.2,10.0032,0.0100032,2026-02-17 12:05:54,2026-02-17 12:05:54,
3596448308627477,52,2,60,FOUND,66708853,53912609,6034,0,17388760500212649280,2241507351922422,1198691033688478,4630800,4630.8,4.6308,0.0046308,2026-02-17 12:05:54,2026-02-17 12:05:54,
3596448308627477,52,3,60,FOUND,53912609,66708853,7085,0,12490950882244363218,2587940850964440,1135692300179324,5762100,5762.1,5.7621,0.0057621,2026-02-17 12:05:54,2026-02-17 12:05:54,
