N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
2834613590077752425989,72,1,60,FOUND,60605291101,46771718089,127200,0,14380676170714399050,179302157346704399625,2419388576535154037069,131431000,131431.0,131.431,0.131431,2026-02-17 12:06:06,2026-02-17 12:06:06,
2834613590077752425989,72,2,60,FOUND,60605291101,46771718089,85208,0,10107700640830904790,2511023702936466114934,692555844938700401802,88584700,88584.7,88.5847,0.0885847,2026-02-17 12:06:06,2026-02-17 12:06:06,
2834613590077752425989,72,3,60,FOUND,46771718089,60605291101,122712,0,13910130301417618284,2235508386877202802826,915397155501483444595,134455200,134455.2,134.4552,0.1344552,2026-02-17 12:06:06,2026-02-17 12:06:06,
3265080631503093453707,72,1,60,FOUND,67354256821,48476232767,128302,0,3364343497608090351,2256153699134873955052,548725750034054059159,131549500,131549.5,131.5495,0.1315495,2026-02-17 12:06:06,2026-02-17 12:06:06,
3265080631503093453707,72,2,60,FOUND,67354256821,48476232767,132909,0,13359526714789217799,407028455606232011669,993221857602443337230,152176700,152176.7,152.1767,0.1521767,2026-02-17 12:06:06,2026-02-17 12:06:06,
3265080631503093453707,72,3,60,FOUND,67354256821,48476232767,64506,0,4287861709755804392,3169945226283161908759,1990294360495811941534,69974300,69974.3,69.9743,0.0699743,2026-02-17 12:06:06,2026-02-17 12:06:06,
2515851322410524529461,72,1,60,FOUND,42947714507,58579399423,29988,0,8145909320903620458,2094106726335395480658,744553518178798309120,27299500,27299.5,27.2995,0.0272995,2026-02-17 12:06:06,2026-02-17 12:06:06,
2515851322410524529461,72,2,60,FOUND,42947714507,58579399423,212091,0,17347890309549342533,2107215563965343794304,1488827530816004402566,200010200,200010.2,200.0102,0.2000102,2026-02-17 12:06:06,2026-02-17 12:06:07,
2515851322410524529461,72,3,60,FOUND,42947714507,58579399423,75729,0,12664917392494384548,1002842599260268581676,1355930815436566052462,69433100,69433.1,69.4331,0.0694331,2026-02-17 12:06:07,2026-02-17 12:06:07,
2502839121031025077603,72,1,60,FOUND,42950869289,58272141227,243733,0,8226478983477181027,1269946144810333333148,1486385079861002172239,248283600,248283.6,248.2836,0.2482836,2026-02-17 12:06:07,2026-02-17 12:06:07,
