N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
764873090929,40,1,60,FOUND,891287,858167,1155,0,14143907897342785647,743250890017,520631084953,803300,803.3,0.8033,0.0008033,2026-02-17 12:05:54,2026-02-17 12:05:54,
764873090929,40,2,60,FOUND,891287,858167,237,0,7344352882075330664,579284363098,740185830275,176900,176.9,0.1769,0.0001769,2026-02-17 12:05:54,2026-02-17 12:05:54,
764873090929,40,3,60,FOUND,891287,858167,338,0,4761040920547172122,707493189415,479153781888,252300,252.3,0.2523,0.0002523,2026-02-17 12:05:54,2026-02-17 12:05:54,
794307898729,40,1,60,FOUND,974971,814699,467,0,5971723914599463132,713145111696,755042390667,316800,316.8,0.3168,0.0003168,2026-02-17 12:05:54,2026-02-17 12:05:54,
794307898729,40,2,60,FOUND,974971,814699,1007,0,15698190842811693746,180915687353,703036078025,694700,694.7,0.6947,0.0006947,2026-02-17 12:05:54,2026-02-17 12:05:54,
794307898729,40,3,60,FOUND,814699,974971,624,0,10846519699757340847,429137792418,442630736220,425900,425.9,0.4259,0.0004259,2026-02-17 12:05:54,2026-02-17 12:05:54,
783627942341,40,1,60,FOUND,773939,1012519,623,0,9607714389225154652,390647585957,23568115998,444500,444.5,0.4445,0.0004445,2026-02-17 12:05:54,2026-02-17 12:05:54,
783627942341,40,2,60,FOUND,773939,1012519,665,0,17396403080536471229,700738552127,755083391792,466700,466.7,0.4667,0.0004667,2026-02-17 12:05:54,2026-02-17 12:05:54,
783627942341,40,3,60,FOUND,1012519,773939,666,0,17791812470273493614,113572341311,383466278656,591000,591.0,0.591,0.000591,2026-02-17 12:05:54,2026-02-17 12:05:54,
558709025573,40,1,60,FOUND,594037,940529,801,0,13826325407840093108,189826711140,193979671873,1029200,1029.2,1.0292,0.0010292,2026-02-17 12:05:54,2026-02-17 12:05:54,
558709025573,40,2,60,FOUND,940529,594037,1067,0,9843639597997253921,531169933985,340750850834,1364100,1364.1,1.3641,0.0013641,2026-02-17 12:05:54,2026-02-17 12:05:54,
558709025573,40,3,60,FOUND,940529,594037,1268,0,16154720408472050772,415268406751,15685860797,1609300,1609.3,1.6093,0.0016093,2026-02-17 12:05:54,2026-02-17 12:05:54,
