N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
239042201465633,48,1,60,FOUND,15856691,15075163,1826,0,82808216386844565,172271148320198,28754998764959,1395800,1395.8,1.3958,0.0013958,2026-02-17 12:05:54,2026-02-17 12:05:54,
239042201465633,48,2,60,FOUND,15856691,15075163,2379,0,4071295967593032693,52165550692337,73511233332002,2078700,2078.7,2.0787,0.0020787,2026-02-17 12:05:54,2026-02-17 12:05:54,
239042201465633,48,3,60,FOUND,15856691,15075163,5850,0,1709980682165521175,137311226742987,157437148512297,6282500,6282.5,6.2825,0.0062825,2026-02-17 12:05:54,2026-02-17 12:05:54,
217816418258143,48,1,60,FOUND,16200271,13445233,2722,0,3175382378516329812,139387699401481,71516528662547,2512700,2512.7,2.5127,0.0025127,2026-02-17 12:05:54,2026-02-17 12:05:54,
217816418258143,48,2,60,FOUND,16200271,13445233,2184,0,13663918308102771388,23190784982060,6904261014400,2324700,2324.7,2.3247,0.0023247,2026-02-17 12:05:54,2026-02-17 12:05:54,
217816418258143,48,3,60,FOUND,16200271,13445233,1320,0,18349306686802557039,41156265581762,204145607121886,1010500,1010.5,1.0105,0.0010105,2026-02-17 12:05:54,2026-02-17 12:05:54,
210913072937123,48,1,60,FOUND,15310717,13775519,3185,0,13929862509715811770,177434727243437,126283275354824,3072900,3072.9,3.0729,0.0030729,2026-02-17 12:05:54,2026-02-17 12:05:54,
210913072937123,48,2,60,FOUND,13775519,15310717,3388,0,6390458423178899881,51394425250972,145259427620459,2750000,2750.0,2.75,0.00275,2026-02-17 12:05:54,2026-02-17 12:05:54,
210913072937123,48,3,60,FOUND,15310717,13775519,5214,0,15805575367386894694,84374986636450,108531767869812,4257500,4257.5,4.2575,0.0042575,2026-02-17 12:05:54,2026-02-17 12:05:54,
231989372810269,48,1,60,FOUND,15055291,15409159,3297,0,10764103362116744760,198996995121552,171115430848256,2680900,2680.9,2.6809,0.0026809,2026-02-17 12:05:54,2026-02-17 12:05:54,
231989372810269,48,2,60,FOUND,15055291,15409159,4241,0,8464781088538394908,107531410696998,218472068125774,3182300,3182.3,3.1823,0.0031823,2026-02-17 12:05:54,2026-02-17 12:05:54,
231989372810269,48,3,60,FOUND,15055291,15409159,3371,0,15832824502276810218,104239755801921,115540996098741,2750300,2750.3,2.7503,0.0027503,2026-02-17 12:05:54,2026-02-17 12:05:54,
144463723279151,48,1,60,FOUND,16449491,8782261,2848,0,2728296305004781279,42519216568282,17433900920137,2455400,2455.4,2.4554,0.0024554,2026-02-17 12:05:54,2026-02-17 12:05:54,
144463723279151,48,2,60,FOUND,16449491,8782261,3877,0,17181809032938090589,91090875103290,51320597454546,3472100,3472.1,3.4721,0.0034721,2026-02-17 12:05:54,2026-02-17 12:05:54,
144463723279151,48,3,60,FOUND,8782261,16449491,942,0,8942529260933297125,27546439790349,400132549872,773100,773.1,0.7731,0.0007731,2026-02-17 12:05:54,2026-02-17 12:05:54,
152432218184023,48,1,60,FOUND,11299963,13489621,1945,0,2846950259978129218,53047785659732,3127691298473,1505700,1505.7,1.5057,0.0015057,2026-02-17 12:05:54,2026-02-17 12:05:54,
152432218184023,48,2,60,FOUND,13489621,11299963,3275,0,1904540980210751671,109161235731970,39528943023295,2498500,2498.5,2.4985,0.0024985,2026-02-17 12:05:54,2026-02-17 12:05:54,
152432218184023,48,3,60,FOUND,13489621,11299963,2944,0,11332930057543061998,2338157349437,94684259115203,2223200,2223.2,2.2232,0.0022232,2026-02-17 12:05:54,2026-02-17 12:05:54,
230491008798437,48,1,60,FOUND,15501727,14868731,4548,0,8029801869131843843,63436131907284,104463428269221,3683000,3683.0,3.683,0.003683,2026-02-17 12:05:54,2026-02-17 12:05:54,
230491008798437,48,2,60,FOUND,15501727,14868731,3257,0,16810335975464666928,15270676160753,8232872421743,2380500,2380.5,2.3805,0.0023805,2026-02-17 12:05:54,2026-02-17 12:05:54,
230491008798437,48,3,60,FOUND,15501727,14868731,2513,0,1952281476209452122,114859383547608,8321240055620,1913900,1913.9,1.9139,0.0019139,2026-02-17 12:05:54,2026-02-17 12:05:54,
261780241275653,48,1,60,FOUND,15674509,16701017,252,0,7081554973926367303,88365207878685,39275491534936,383200,383.2,0.3832,0.0003832,2026-02-17 12:05:54,2026-02-17 12:05:54,
