N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
2173,12,1,60,FOUND,41,53,4,0,4695046534552491817,937,1726,5100,5.1,0.0051,5.1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
2173,12,2,60,FOUND,53,41,3,0,2881440731830775189,1391,1745,3100,3.1,0.0031,3.1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
2173,12,3,60,FOUND,41,53,4,0,10671655223325294199,1078,375,4000,4.0,0.004,4e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
2183,12,1,60,FOUND,37,59,3,0,7094976121260394736,1171,51,2600,2.6,0.0026,2.6e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
2183,12,2,60,FOUND,59,37,1,0,1119444365958032744,1288,1975,1700,1.7,0.0017,1.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
2183,12,3,60,FOUND,59,37,10,0,4994550009689014723,14,1745,8800,8.8,0.0088,8.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
2209,12,1,60,FOUND,47,47,6,0,432809906782146079,1028,133,5000,5.0,0.005,5e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
2209,12,2,60,FOUND,47,47,12,0,13667667435766239850,866,1378,9700,9.7,0.0097,9.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
2209,12,3,60,FOUND,47,47,9,0,6406920619581246574,1635,1365,7100,7.1,0.0071,7.1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
2257,12,1,60,FOUND,61,37,6,0,3988169987202606727,2154,2067,4700,4.7,0.0047,4.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
2257,12,2,60,FOUND,37,61,4,0,8703310327430453326,10,1134,3200,3.2,0.0032,3.2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
2257,12,3,60,FOUND,37,61,9,0,14418359336986672576,1544,2107,7100,7.1,0.0071,7.1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
2279,12,1,60,FOUND,43,53,6,0,1463715951826599011,1493,794,4700,4.7,0.0047,4.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
2279,12,2,60,FOUND,53,43,5,0,14198023662987080687,2220,1367,4000,4.0,0.004,4e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
