N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
574339,20,1,60,FOUND,743,773,3,0,933358110067797967,144025,67434,4400,4.4,0.0044,4.4e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
574339,20,2,60,FOUND,743,773,16,0,5763995795695534916,198073,92003,12700,12.7,0.0127,1.27e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
574339,20,3,60,FOUND,743,773,10,0,16683917915538023622,197519,548557,7900,7.9,0.0079,7.9e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
525647,20,1,60,FOUND,577,911,27,1,38848381738944753,80230,275552,22300,22.3,0.0223,2.23e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
525647,20,2,60,FOUND,911,577,30,0,4987269699263347409,154674,524688,22000,22.0,0.022,2.2e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
525647,20,3,60,FOUND,577,911,15,0,10082845580293290065,262614,228834,11500,11.5,0.0115,1.15e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
623011,20,1,60,FOUND,823,757,6,0,322970283656251869,197611,179476,4900,4.9,0.0049,4.9e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
623011,20,2,60,FOUND,757,823,18,0,1916808366907326264,214728,446218,13800,13.8,0.0138,1.38e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
623011,20,3,60,FOUND,823,757,24,0,6050746279027674610,350660,16009,18400,18.4,0.0184,1.84e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
971107,20,1,60,FOUND,1019,953,38,0,11630302759504679267,210605,105917,28200,28.2,0.0282,2.82e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
971107,20,2,60,FOUND,953,1019,24,0,9182501697447917821,172019,668679,18600,18.6,0.0186,1.86e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
971107,20,3,60,FOUND,1019,953,22,0,1962121714791661168,312153,965904,17000,17.0,0.017,1.7e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
574121,20,1,60,FOUND,1009,569,48,0,17539826940071300999,350511,435506,35700,35.7,0.0357,3.57e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
574121,20,2,60,FOUND,1009,569,21,0,6816606157565669132,555242,142864,16200,16.2,0.0162,1.62e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
574121,20,3,60,FOUND,1009,569,26,0,16668751681567375951,237522,137712,20900,20.9,0.0209,2.09e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
695273,20,1,60,FOUND,719,967,15,0,12507565877882732825,602060,655064,12100,12.1,0.0121,1.21e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
695273,20,2,60,FOUND,719,967,18,0,6499940203840112326,391442,274084,13800,13.8,0.0138,1.38e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
695273,20,3,60,FOUND,719,967,16,0,9695079893683938070,660297,400343,12200,12.2,0.0122,1.22e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
730369,20,1,60,FOUND,743,983,12,0,11777148058725283577,25830,677391,9700,9.7,0.0097,9.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
730369,20,2,60,FOUND,743,983,36,0,9753257667677558835,491815,576626,27300,27.3,0.0273,2.73e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
730369,20,3,60,FOUND,743,983,23,0,4277413932998648175,154138,6664,17400,17.4,0.0174,1.74e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
814733,20,1,60,FOUND,877,929,20,0,1811225691989000208,1061,236562,15200,15.2,0.0152,1.52e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
814733,20,2,60,FOUND,929,877,40,0,1676897877932821237,117340,120176,30400,30.4,0.0304,3.04e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
814733,20,3,60,FOUND,929,877,57,0,1691965232457413891,214118,33496,42500,42.5,0.0425,4.25e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
603329,20,1,60,FOUND,757,797,9,0,17284948071902987207,600661,212126,7100,7.1,0.0071,7.1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
603329,20,2,60,FOUND,797,757,17,0,11802750753727947485,60155,330302,13400,13.4,0.0134,1.34e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
603329,20,3,60,FOUND,757,797,12,0,9469002888129376724,36445,180268,9200,9.2,0.0092,9.2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
954803,20,1,60,FOUND,1019,937,6,0,1784081345801096359,210808,340880,4800,4.8,0.0048,4.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
954803,20,2,60,FOUND,937,1019,10,0,8685221354757830882,171746,61974,8000,8.0,0.008,8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
954803,20,3,60,FOUND,937,1019,45,1,14580072807996891571,820405,59014,35500,35.5,0.0355,3.55e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
751589,20,1,60,FOUND,877,857,36,0,9779453089708911920,115006,341933,27400,27.4,0.0274,2.74e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
751589,20,2,60,FOUND,877,857,12,0,4388592933749084148,531885,324360,9700,9.7,0.0097,9.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
751589,20,3,60,FOUND,857,877,8,0,9186590134933807915,205088,574827,6400,6.4,0.0064,6.4e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
558013,20,1,60,FOUND,593,941,25,0,7387760776073262888,220063,333338,18600,18.6,0.0186,1.86e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
558013,20,2,60,FOUND,593,941,32,0,4674440043172223442,256381,402232,23300,23.3,0.0233,2.33e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
558013,20,3,60,FOUND,593,941,25,0,16141566470517887663,466344,454623,20000,20.0,0.02,2e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
607613,20,1,60,FOUND,857,709,7,0,1986523659973944810,486779,398588,6000,6.0,0.006,6e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
607613,20,2,60,FOUND,709,857,57,1,12365988149668926148,271157,18056,43800,43.8,0.0438,4.38e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
607613,20,3,60,FOUND,709,857,2,0,1941992253471946732,64306,580890,1800,1.8,0.0018,1.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
799067,20,1,60,FOUND,907,881,30,0,985700149511114269,323488,796337,22700,22.7,0.0227,2.27e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
799067,20,2,60,FOUND,907,881,10,0,3727898306166397155,160910,158795,7700,7.7,0.0077,7.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
799067,20,3,60,FOUND,907,881,35,0,5784926043537572598,621099,625840,25900,25.9,0.0259,2.59e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
880937,20,1,60,FOUND,967,911,32,0,6408966436796528442,718351,248784,23500,23.5,0.0235,2.35e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
880937,20,2,60,FOUND,911,967,21,0,18046846215038048188,237792,840408,16000,16.0,0.016,1.6e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
880937,20,3,60,FOUND,911,967,30,0,3681958336240465804,122758,627027,22400,22.4,0.0224,2.24e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
783611,20,1,60,FOUND,1019,769,32,0,6418181435157871097,167078,255593,23500,23.5,0.0235,2.35e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
783611,20,2,60,FOUND,1019,769,32,0,16886782563413194861,192923,604849,23100,23.1,0.0231,2.31e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
783611,20,3,60,FOUND,769,1019,18,0,3508297873197097883,141479,104722,13800,13.8,0.0138,1.38e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
752659,20,1,60,FOUND,1013,743,15,0,8993664842702011618,678763,360396,11400,11.4,0.0114,1.14e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
752659,20,2,60,FOUND,1013,743,24,0,14125189791811590288,56467,284937,17800,17.8,0.0178,1.78e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
752659,20,3,60,FOUND,743,1013,35,0,5029289999244735776,73557,23714,25700,25.7,0.0257,2.57e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
641941,20,1,60,FOUND,727,883,36,0,13602800524043396759,284315,211540,27200,27.2,0.0272,2.72e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
641941,20,2,60,FOUND,883,727,14,0,16864163492328862073,473573,592689,10500,10.5,0.0105,1.05e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
641941,20,3,60,FOUND,727,883,36,0,18359581697992346214,367831,61854,24800,24.8,0.0248,2.48e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
927271,20,1,60,FOUND,919,1009,20,0,3320804174692479492,571710,432245,9000,9.0,0.009,9e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
927271,20,2,60,FOUND,1009,919,24,0,11494248841489722179,372903,852788,11100,11.1,0.0111,1.11e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
927271,20,3,60,FOUND,1009,919,20,0,11495524511880937011,87917,732897,9200,9.2,0.0092,9.2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
814669,20,1,60,FOUND,971,839,24,0,10503943608892459781,747633,478709,10900,10.9,0.0109,1.09e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
814669,20,2,60,FOUND,839,971,10,0,1444737344224639031,107969,780147,5100,5.1,0.0051,5.1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
814669,20,3,60,FOUND,971,839,15,0,4958233375879859420,239736,233568,6900,6.9,0.0069,6.9e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
936799,20,1,60,FOUND,983,953,27,0,1263098074224814725,819041,78241,12400,12.4,0.0124,1.24e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
936799,20,2,60,FOUND,953,983,8,0,6233053680767504836,165735,209657,4100,4.1,0.0041,4.1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
936799,20,3,60,FOUND,983,953,30,0,4863332376249239393,100364,206787,14400,14.4,0.0144,1.44e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
544993,20,1,60,FOUND,827,659,24,0,16108157348861663036,254248,230729,11400,11.4,0.0114,1.14e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
544993,20,2,60,FOUND,827,659,5,0,13619868844341327162,152127,268463,2700,2.7,0.0027,2.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
544993,20,3,60,FOUND,827,659,12,0,12879788514385452210,364327,249825,6800,6.8,0.0068,6.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
751561,20,1,60,FOUND,929,809,25,0,453634089619616109,445146,326621,11600,11.6,0.0116,1.16e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
751561,20,2,60,FOUND,809,929,40,0,6272074770914509832,345463,76081,18400,18.4,0.0184,1.84e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
751561,20,3,60,FOUND,809,929,6,0,6208647695188294099,303758,500385,3200,3.2,0.0032,3.2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
636751,20,1,60,FOUND,743,857,20,0,12835860280197644335,9848,208034,9300,9.3,0.0093,9.3e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
636751,20,2,60,FOUND,857,743,24,0,12417037394674230978,575423,600753,10900,10.9,0.0109,1.09e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
636751,20,3,60,FOUND,743,857,21,0,4604849989078315553,544015,351290,9800,9.8,0.0098,9.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
