N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
217536749,28,1,60,FOUND,13901,15649,30,0,11146291081151945313,39002410,92803075,28200,28.2,0.0282,2.82e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
217536749,28,2,60,FOUND,13901,15649,74,0,51317035677605816,76660963,162350560,63900,63.9,0.0639,6.39e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
217536749,28,3,60,FOUND,13901,15649,28,0,15751385644875262273,146581595,24531403,24600,24.6,0.0246,2.46e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
149953273,28,1,60,FOUND,9181,16333,63,0,5109859681839124459,38720685,59947651,58000,58.0,0.058,5.8e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
149953273,28,2,60,FOUND,16333,9181,90,0,8172427167690683692,68164950,9987496,77200,77.2,0.0772,7.72e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
149953273,28,3,60,FOUND,9181,16333,52,0,7701811020341773557,101312271,35241216,46000,46.0,0.046,4.6e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
192455149,28,1,60,FOUND,15823,12163,167,0,3039293395676181848,16379608,16054335,139600,139.6,0.1396,0.0001396,2026-02-17 12:05:54,2026-02-17 12:05:54,
192455149,28,2,60,FOUND,12163,15823,90,0,2890218972388912095,139421473,81534336,79700,79.7,0.0797,7.97e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
192455149,28,3,60,FOUND,15823,12163,88,0,16144920819485300696,27861452,135859318,85300,85.3,0.0853,8.53e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
168497531,28,1,60,FOUND,11273,14947,12,0,12846531065182045395,108144902,74760491,11700,11.7,0.0117,1.17e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
168497531,28,2,60,FOUND,14947,11273,87,0,14047332896953028866,129824411,69272635,76400,76.4,0.0764,7.64e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
168497531,28,3,60,FOUND,11273,14947,134,0,989464999206736171,134233031,144704064,114900,114.9,0.1149,0.0001149,2026-02-17 12:05:54,2026-02-17 12:05:54,
214598473,28,1,60,FOUND,13687,15679,44,0,12897748142878178657,142503137,33329645,39900,39.9,0.0399,3.99e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
214598473,28,2,60,FOUND,13687,15679,72,0,2724793165876844939,211232761,33759795,61800,61.8,0.0618,6.18e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
214598473,28,3,60,FOUND,13687,15679,86,0,15661231962381078912,56676881,71924069,75600,75.6,0.0756,7.56e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
214174861,28,1,60,FOUND,15607,13723,83,0,4622021590974586721,177316443,71805656,72000,72.0,0.072,7.2e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
214174861,28,2,60,FOUND,15607,13723,76,0,9416262719523174303,133359702,168273894,63900,63.9,0.0639,6.39e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
214174861,28,3,60,FOUND,15607,13723,52,0,14699197648669347723,18622813,112777311,45800,45.8,0.0458,4.58e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
210385339,28,1,60,FOUND,15803,13313,156,0,3947608442356849748,200792285,113334631,131300,131.3,0.1313,0.0001313,2026-02-17 12:05:54,2026-02-17 12:05:54,
210385339,28,2,60,FOUND,15803,13313,105,0,76795837473158238,203215436,75936574,91700,91.7,0.0917,9.17e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
210385339,28,3,60,FOUND,13313,15803,100,0,18388283592152312380,105115183,159071726,86300,86.3,0.0863,8.63e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
136438051,28,1,60,FOUND,10067,13553,63,0,12443115178771309765,22404698,71378733,55900,55.9,0.0559,5.59e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
136438051,28,2,60,FOUND,10067,13553,116,0,7982460811636167893,107157054,31667884,102800,102.8,0.1028,0.0001028,2026-02-17 12:05:54,2026-02-17 12:05:54,
136438051,28,3,60,FOUND,10067,13553,145,0,12342806885966058373,129307072,3687038,124800,124.8,0.1248,0.0001248,2026-02-17 12:05:54,2026-02-17 12:05:54,
163548379,28,1,60,FOUND,12601,12979,55,0,11927564113083454217,54332294,43523314,48900,48.9,0.0489,4.89e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
163548379,28,2,60,FOUND,12601,12979,30,0,6179498523436989098,17683773,83353119,26000,26.0,0.026,2.6e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
163548379,28,3,60,FOUND,12979,12601,67,0,8469157974082214431,57263916,21171014,64300,64.3,0.0643,6.43e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
172934747,28,1,60,FOUND,15013,11519,56,0,5244743473782497909,67447779,85117908,48300,48.3,0.0483,4.83e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
172934747,28,2,60,FOUND,15013,11519,69,0,1383209385101240588,53504505,42313950,60900,60.9,0.0609,6.09e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
172934747,28,3,60,FOUND,15013,11519,80,0,8472233854013498155,150664522,51057392,66900,66.9,0.0669,6.69e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
135571627,28,1,60,FOUND,10831,12517,103,0,12104896339943270417,93816329,44620494,88800,88.8,0.0888,8.88e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
